assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,0,210,100,100,5,0.35,444145,4,,0,0,-3,3,457.4,20,14,3,,0,3,4.0,4.0,5,2.86,0.2,5.34,0.37,2.48,10.67,0.75,0.17,Gabriel,3.5,65,36,17,1.19,2,114.9,30,19,12,False,239.0,163,70,1285,,2023-12-12T17:30:08.345180Z,77,19,12,0,0,None,0,,444145.jpg,3.2,131,61,0,0,0.0,Martinelli Silva,5.4,74,23,False,None,17,1.19,a,1,3,458.0,22,10,57,929156,7682,1798379,11947,0.5,7.4,Martinelli,1
3,5,180,100,100,6,0.56,205533,None,,0,0,-2,2,108.9,185,29,None,,1,4,1.8,1.8,2,0.32,0.03,4.48,0.42,4.16,9.18,0.86,0.39,Eddie,1.3,243,35,8,0.75,5,65.4,111,21,13,False,207.6,193,20,958,,2023-11-09T08:30:08.250179Z,53,144,37,0,0,None,0,,205533.jpg,3.2,125,19,0,0,0.0,Nketiah,4.5,85,15,False,None,10,0.94,a,1,3,348.0,41,18,60,1539457,1508,1516652,16520,0.2,11.3,Nketiah,3
4,12,314,100,100,6,0.36,184029,3,,0,0,-1,1,667.2,6,4,1,,1,3,4.2,4.2,2,4.20,0.25,8.19,0.49,3.99,14.90,0.89,0.24,Martin,3.7,62,35,17,1.01,4,145.8,12,8,14,False,407.2,48,18,1509,,2023-11-04T21:00:08.152623Z,84,10,6,0,0,2,0,,184029.jpg,4.9,21,15,0,0,0.0,Ødegaard,15.8,24,8,False,None,17,1.01,a,1,3,384.0,35,21,83,1578439,62181,2422177,29375,0.4,9.9,Ødegaard,1
0,0,58,0,0,1,0.36,167199,None,,0,0,-2,2,60.0,281,152,None,,0,3,0.0,0.0,0,0.21,0.08,0.28,0.11,0.07,2.53,0.91,0.03,Thomas,0.0,690,283,2,0.72,0,13.1,362,162,15,False,55.8,366,158,250,Muscle injury - Expected back 20 Jan,2023-10-25T12:00:07.465521Z,48,280,182,0,0,None,0,,167199.jpg,1.8,321,137,0,0,0.0,Partey,0.1,363,116,False,None,3,1.08,i,1,3,15.0,377,189,7,8568,10,37067,70,0.0,1.5,Thomas,0
0,0,0,0,0,0,0,195735,None,,0,0,-1,1,0.0,731,312,None,,0,3,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Nicolas,0.0,703,291,0,0,0,0.0,736,314,16,False,0.0,735,314,0,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,49,233,150,0,0,None,0,,195735.jpg,0.0,736,314,0,0,0,Pépé,0.0,532,187,False,None,0,0,u,1,3,0.0,728,311,0,667,0,6348,13,0.0,0.0,Pepe,0
0,0,77,None,None,2,0.4,225321,None,,0,0,-4,4,0.0,714,82,None,,0,1,0.5,0.5,0,0.01,0.0,0.01,0.0,0.00,4.84,0.97,0.0,Aaron,0.0,673,84,4,0.8,0,5.6,421,28,17,False,55.8,365,28,450,,None,46,341,14,0,0,None,0,,225321.jpg,3.4,102,16,0,6,1.2,Ramsdale,6.2,58,11,False,None,5,1.0,a,1,3,0.0,710,78,17,261862,657,1430746,5862,0.0,3.7,Ramsdale,0
0,0,0,0,0,0,0,115918,None,,0,0,0,0,0.0,510,44,None,,0,1,0.0,0.0,0,0.00,0,0.00,0,0.00,0.00,0,0,Rúnar Alex,0.0,450,56,0,0,0,0.0,532,60,18,False,0.0,524,60,0,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,40,642,41,0,0,None,0,,115918.jpg,0.0,537,60,0,0,0,Rúnarsson,0.1,441,65,False,None,0,0,u,1,3,0.0,482,34,0,990,0,10879,65,0.0,0.0,Rúnarsson,0
8,11,388,100,100,6,0.32,223340,1,,0,0,5,-5,751.7,5,3,None,,2,3,3.8,3.8,7,6.41,0.35,13.22,0.72,6.81,15.89,0.86,0.37,Bukayo,3.3,77,42,20,1.08,6,199.2,2,2,19,True,557.4,9,3,1663,,2023-11-09T08:30:08.290130Z,90,6,4,0,0,1,0,,223340.jpg,5.6,10,8,0,0,0.0,Saka,58.6,1,1,False,None,19,1.03,a,1,3,681.0,7,4,107,3934443,165347,3889494,53361,0.4,11.9,Saka,2
1,6,376,100,100,7,0.35,462424,None,,0,0,6,-6,89.2,222,62,None,,0,2,2.7,2.7,0,0.59,0.03,1.76,0.09,1.17,16.84,0.84,0.06,William,2.2,166,50,20,1.0,1,52.7,152,36,20,False,371.6,57,16,1800,,2023-10-09T08:30:07.861646Z,56,97,8,0,0,None,0,,462424.jpg,3.8,69,12,0,0,0.0,Saliba,36.5,7,2,False,None,20,1.0,a,1,3,65.0,231,60,75,3296968,50182,1688394,55066,0.4,13.4,Saliba,2
1,0,30,100,100,1,0.78,209289,None,,0,0,-2,2,18.5,375,191,None,,0,3,0.8,0.8,0,0.06,0.05,1.03,0.8,0.97,0.98,0.76,0.75,Emile,0.3,366,170,0,0.0,0,12.6,369,166,22,False,44.0,388,173,116,,2023-11-02T11:00:07.493976Z,53,145,91,0,0,None,0,,209289.jpg,1.8,326,140,0,0,0.0,Smith Rowe,0.1,420,136,False,None,1,0.78,a,1,3,65.0,230,125,11,5042,54,16259,85,0.1,2.1,Smith Rowe,0
