ID,Name,Full Name,Position,Team,Price,Selected %
510,Jair Cunha,Jair Paula da Cunha Filho,DEF,16,4.2,0.1
511,Morato,Felipe Rodrigues da Silva,DEF,16,4.3,0.1
512,O.Richards,Omar Richards,DEF,16,4.5,0.0
513,Abbott,Zach Abbott,DEF,16,3.8,0.2
514,Boly,Willy Boly,DEF,16,3.8,0.3
515,Gibbs-White,Morgan Gibbs-White,MID,16,7.6,9.2
516,Hudson-Odoi,Callum Hudson-Odoi,MID,16,5.7,0.6
517,Anderson,Elliot Anderson,MID,16,5.7,9.4
518,Jota,João Pedro Ferreira da Silva,MID,16,5.4,0.0
519,Dominguez,Nicolás Domínguez,MID,16,5.0,0.0
520,O'Brien,Lewis O'Brien,MID,16,5.0,0.0
521,Sangaré,Ibrahim Sangaré,MID,16,4.9,0.1
522,Yates,Ryan Yates,MID,16,4.7,0.1
523,Da Silva Moreira,Eric da Silva Moreira,MID,16,4.5,0.1
524,Stamenic,Marko Stamenić,MID,16,4.5,0.0
525,Wood,Chris Wood,FWD,16,7.1,4.7
526,Igor Jesus,Igor Jesus Maciel da Cruz,FWD,16,5.9,2.4
527,Awoniyi,Taiwo Awoniyi,FWD,16,5.2,0.4
528,Patterson,Anthony Patterson,GK,17,4.2,0.1
529,Moore,Simon Moore,GK,17,3.9,0.3
530,Nna Noukeu,Blondy Nna Noukeu,GK,17,3.9,0.1
531,Ballard,Daniel Ballard,DEF,17,4.6,2.4
532,Hume,Trai Hume,DEF,17,4.5,0.3
533,Alese,Aji Alese,DEF,17,4.0,0.0
534,Anderson,Joe Anderson,DEF,17,3.8,0.3
535,Cirkin,Dennis Cirkin,DEF,17,4.0,0.0
536,Hjelde,Leo Fuhr Hjelde,DEF,17,4.0,0.0
537,Huggins,Niall Huggins,DEF,17,4.0,0.1
538,Johnson,Zak Johnson,DEF,17,3.8,0.2
539,O'Nien,Luke O'Nien,DEF,17,4.0,0.1
540,Pembele,Timothée Pembélé,DEF,17,3.9,0.3
541,Reinildo,Reinildo Mandava,DEF,17,3.8,3.0
542,Seelt,Jenson Seelt,DEF,17,4.0,0.1
543,Adingra,Simon Adingra,MID,17,4.9,0.3
544,Diarra,Habib Diarra,MID,17,5.3,0.1
545,Roberts,Patrick Roberts,MID,17,5.4,0.0
546,Aleksić,Milan Aleksić,MID,17,4.9,0.0
547,E.Le Fée,Enzo Le Fée,MID,17,4.8,1.6
548,Mundle,Romaine Mundle,MID,17,4.9,0.0
549,Neil,Dan Neil,MID,17,4.8,0.0
550,Poveda,Ian Poveda-Ocampo,MID,17,4.7,0.0
551,Rigg,Chris Rigg,MID,17,4.7,0.1
552,Sadiki,Noah Sadiki,MID,17,4.9,0.1
553,Talbi,Chemsdine Talbi,MID,17,4.9,0.2
554,Ba,Abdoullah Ba,MID,17,4.3,0.3
555,Browne,Alan Browne,MID,17,4.5,0.0
556,Ekwah,Pierre Ekwah Elimby,MID,17,4.5,0.0
557,H.Jones,Harrison Jones,MID,17,4.3,0.1
