ID,Name,Full Name,Position,Team,Price,Selected %
1,Raya,David Raya Martín,GK,1,6.2,36.4
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,GK,1,4.0,0.4
3,Hein,Karl Hein,GK,1,4.0,0.2
4,Setford,Tommy Setford,GK,1,3.9,0.2
5,Gabriel,Gabriel dos Santos Magalhães,DEF,1,7.3,45.4
6,Saliba,William Saliba,DEF,1,6.3,17.1
7,Calafiori,Riccardo Calafiori,DEF,1,5.6,6.0
8,J.Timber,Jurriën Timber,DEF,1,6.0,15.2
9,Kiwior,Jakub Kiwior,DEF,1,5.4,0.0
10,Lewis-Skelly,Myles Lewis-Skelly,DEF,1,5.0,1.9
11,White,Benjamin White,DEF,1,5.1,0.5
12,Zinchenko,Oleksandr Zinchenko,DEF,16,4.9,0.2
13,Clarke,Brayden Clarke,DEF,1,3.7,0.5
14,Kacurri,Maldini Kacurri,DEF,1,3.9,0.1
15,Nichols,Josh Nichols,DEF,1,3.7,0.2
16,Saka,Bukayo Saka,MID,1,10.0,11.6
17,Ødegaard,Martin Ødegaard,MID,1,7.8,1.7
18,Madueke,Noni Madueke,MID,1,6.8,0.8
19,Martinelli,Gabriel Martinelli Silva,MID,1,6.8,0.9
20,Trossard,Leandro Trossard,MID,1,6.6,1.8
21,Rice,Declan Rice,MID,1,7.2,23.3
22,Merino,Mikel Merino Zazón,MID,1,5.3,0.7
23,Fábio Vieira,Fábio Ferreira Vieira,MID,1,5.4,0.0
24,Nørgaard,Christian Nørgaard,MID,1,5.1,0.1
25,Nwaneri,Ethan Nwaneri,MID,1,5.0,0.1
26,Zubimendi,Martín Zubimendi Ibáñez,MID,1,4.9,2.7
27,Nelson,Reiss Nelson,MID,5,4.8,0.1
28,Kabia,Ismeal Kabia,MID,1,4.5,0.1
29,Sambi,Albert Sambi Lokonga,MID,1,4.5,0.0
30,Havertz,Kai Havertz,FWD,1,7.3,0.7
31,G.Jesus,Gabriel Fernando de Jesus,FWD,1,6.4,0.4
32,Martinez,Emiliano Martínez Romero,GK,2,5.0,4.4
33,M.Bizot,Marco Bizot,GK,2,4.2,0.4
34,Gauci,Joe Gauci,GK,2,4.0,0.1
35,Marschall,Filip Marschall,GK,2,4.0,0.0
36,Cash,Matty Cash,DEF,2,4.6,7.4
37,Digne,Lucas Digne,DEF,2,4.5,1.5
38,Konsa,Ezri Konsa Ngoyo,DEF,2,4.4,7.0
39,Maatsen,Ian Maatsen,DEF,2,4.2,0.5
40,Mings,Tyrone Mings,DEF,2,4.3,0.6
41,Pau,Pau Torres,DEF,2,4.3,0.3
42,A.García,Andrés García,DEF,2,3.9,0.2
43,Alex Moreno,Álex Moreno Lopera,DEF,2,4.0,1.5
44,Bogarde,Lamare Bogarde,DEF,2,4.0,0.5
45,Sousa,Lino da Cruz Sousa,DEF,2,3.8,0.2
46,Yasin,Yasin Özcan,DEF,2,4.0,0.1
47,Rogers,Morgan Rogers,MID,2,7.3,20.2
48,Tielemans,Youri Tielemans,MID,2,5.9,0.7
49,Bailey,Leon Bailey,MID,2,5.5,0.1
50,Buendía,Emiliano Buendía Stati,MID,2,5.3,0.4
51,Iling Jr,Samuel Iling-Junior,MID,2,5.5,0.0
52,J.Ramsey,Jacob Ramsey,MID,15,5.3,0.3
53,Malen,Donyell Malen,MID,2,5.1,0.4
54,McGinn,John McGinn,MID,2,5.3,0.7
55,Barkley,Ross Barkley,MID,2,4.8,0.1
56,Barrenechea,Enzo Barrenechea,MID,2,5.0,0.0
57,Dobbin,Lewis Dobbin,MID,2,5.0,0.0
58,Kamara,Boubacar Kamara,MID,2,4.9,0.2
59,Onana,Amadou Onana,MID,2,4.8,0.6
60,Broggio,Ben Broggio,MID,2,4.4,0.2
61,Dendoncker,Leander Dendoncker,MID,2,4.5,0.1
62,Jimoh-Aloba,Jamaldeen Jimoh-Aloba,MID,2,4.5,0.1
63,Young,Kadan Young,MID,2,4.3,0.5
64,Watkins,Ollie Watkins,FWD,2,8.7,13.0
65,Redmond,Zépiqueno Redmond,FWD,2,4.5,0.3
66,Neto,Norberto Murara Neto,GK,4,4.5,0.1
67,Petrović,Đorđe Petrović,GK,4,4.6,5.2
68,Dennis,Will Dennis,GK,4,4.0,0.7
69,McKenna,Callan McKenna,GK,4,3.9,0.2
70,Paulsen,Alex Paulsen,GK,4,4.0,0.1
71,Zabarnyi,Illia Zabarnyi,DEF,4,5.0,0.0
72,Senesi,Marcos Senesi Barón,DEF,4,5.2,22.0
73,Smith,Adam Smith,DEF,4,4.4,0.2
74,Truffert,Adrien Truffert,DEF,4,4.8,5.3
75,Akinmboni,Matai Akinmboni,DEF,4,3.8,0.2
76,Bevan,Owen Bevan,DEF,4,3.8,0.2
77,Hill,James Hill,DEF,4,4.2,7.4
78,J.Araujo,Julián Araujo Zúñiga,DEF,4,3.8,0.5
79,Mepham,Chris Mepham,DEF,4,4.0,0.1
80,Soler,Julio Soler Barreto,DEF,4,3.9,0.2
81,Kluivert,Justin Kluivert,MID,4,6.9,0.6
82,Semenyo,Antoine Semenyo,MID,13,8.0,46.2
83,O.Dango,Dango Ouattara,MID,5,5.6,1.6
84,Tavernier,Marcus Tavernier,MID,4,5.3,4.2
85,Adams,Tyler Adams,MID,4,4.9,0.3
86,Brooks,David Brooks,MID,4,5.0,0.2
87,Christie,Ryan Christie,MID,4,4.9,0.1
88,Cook,Lewis Cook,MID,4,4.9,0.0
89,Philip,Philip Billing,MID,4,4.9,0.0
90,Scott,Alex Scott,MID,4,4.9,2.1
91,Sinisterra,Luis Sinisterra Lucumí,MID,4,5.0,0.0
92,Faivre,Romain Faivre,MID,4,4.5,0.1
93,H.Traorè,Hamed Traorè,MID,4,4.5,0.3
94,Sadi,Dominic Sadi,MID,4,4.5,0.0
95,Silcott-Duberry,Zain Silcott-Duberry,MID,4,4.4,0.1
96,Winterburn,Ben Winterburn,MID,4,4.5,0.0
97,Evanilson,Francisco Evanilson de Lima Barbosa,FWD,4,6.6,2.4
98,Enes Ünal,Enes Ünal,FWD,4,5.4,0.0
99,Adu-Adjei,Daniel Adu-Adjei,FWD,4,4.4,0.1
100,Kroupi.Jr,Junior Kroupi,FWD,4,4.7,7.6
101,Kelleher,Caoimhín Kelleher,GK,5,4.8,12.0
102,Balcombe,Ellery Balcombe,GK,5,3.9,0.2
103,Cox,Matthew Cox,GK,5,3.9,0.1
104,Eyestone,Julian Eyestone,GK,5,3.9,0.1
105,Valdimarsson,Hákon Rafn Valdimarsson,GK,5,3.8,1.0
106,Collins,Nathan Collins,DEF,5,4.9,2.4
107,Lewis-Potter,Keane Lewis-Potter,DEF,5,4.8,1.5
108,Ajer,Kristoffer Ajer,DEF,5,4.4,0.2
109,Henry,Rico Henry,DEF,5,4.3,0.1
110,Kayode,Michael Kayode,DEF,5,4.6,1.0
111,Pinnock,Ethan Pinnock,DEF,5,4.2,0.1
112,Roerslev,Mads Roerslev Rasmussen,DEF,5,4.5,0.0
113,Van den Berg,Sepp van den Berg,DEF,5,4.4,1.0
114,Arthur,Benjamin Arthur,DEF,5,3.8,0.2
115,Fredrick,Benjamin Fredrick,DEF,5,4.0,0.1
116,Hickey,Aaron Hickey,DEF,5,4.0,0.3
117,Ji-soo,Kim Ji-soo,DEF,5,3.9,0.1
118,Meghoma,Jayden Meghoma,DEF,5,4.0,0.0
119,Mbeumo,Bryan Mbeumo,MID,14,8.3,15.0
120,Schade,Kevin Schade,MID,5,6.8,1.3
121,Damsgaard,Mikkel Damsgaard,MID,5,5.6,0.8
122,Milambo,Antoni Milambo,MID,5,5.2,0.0
123,Carvalho,Fábio Freitas Gouveia Carvalho,MID,5,4.6,0.1
124,Henderson,Jordan Henderson,MID,5,5.0,0.3
125,Janelt,Vitaly Janelt,MID,5,4.9,0.1
126,Jensen,Mathias Jensen,MID,5,4.9,0.1
127,Nunes,Gustavo Nunes Fernandes Gomes,MID,5,4.9,0.0
128,Onyeka,Frank Onyeka,MID,5,4.8,0.0
129,Yarmoliuk,Yehor Yarmoliuk,MID,5,5.0,0.1
130,Donovan,Romelle Donovan,MID,5,4.4,0.1
131,Konak,Yunus Emre Konak,MID,5,4.3,0.1
132,Maghoma,Paris Maghoma,MID,5,4.5,0.0
133,Peart-Harris,Myles Peart-Harris,MID,5,4.4,0.0
134,Trevitt,Ryan Trevitt,MID,5,4.5,0.0
135,Wissa,Yoane Wissa,FWD,15,7.3,0.6
136,Thiago,Igor Thiago Nascimento Rodrigues,FWD,5,7.2,30.2
137,Morgan,Iwan Morgan,FWD,5,4.4,0.3
138,Steele,Jason Steele,GK,6,4.2,0.2
139,Verbruggen,Bart Verbruggen,GK,6,4.6,9.3
140,McGill,Tom McGill,GK,6,3.9,0.3
141,Rushworth,Carl Rushworth,GK,6,4.0,0.0
142,Scherpen,Kjell Scherpen,GK,6,4.0,0.0
143,Boscagli,Olivier Boscagli,DEF,6,4.2,0.1
144,Coppola,Diego Coppola,DEF,6,4.2,0.0
145,De Cuyper,Maxim De Cuyper,DEF,6,4.3,1.7
146,Dunk,Lewis Dunk,DEF,6,4.5,1.0
147,Estupiñan,Pervis Estupiñán Tenorio,DEF,6,4.5,0.0
148,F.Kadıoğlu,Ferdi Kadıoğlu,DEF,6,4.5,1.4
149,Igor,Igor Julio dos Santos de Paulo,DEF,6,4.5,0.1
150,Lamptey,Tariq Lamptey,DEF,6,4.4,0.1
151,Van Hecke,Jan Paul van Hecke,DEF,6,4.7,10.7
152,Veltman,Joël Veltman,DEF,6,4.3,0.1
153,Webster,Adam Webster,DEF,6,4.4,0.0
154,Cashin,Eiran Cashin,DEF,6,4.0,0.0
155,Slater,Jacob Slater,DEF,6,4.0,0.1
156,Tasker,Charlie Tasker,DEF,6,3.8,0.2
157,Mitoma,Mitoma Kaoru,MID,6,6.1,1.9
158,Georginio,Georginio Rutter,MID,6,5.6,0.3
159,March,Solly March,MID,6,5.8,0.0
160,Minteh,Yankuba Minteh,MID,6,5.5,2.5
161,Enciso,Julio Enciso Espínola,MID,6,5.4,0.0
162,Gruda,Brajan Gruda,MID,6,5.4,0.0
163,Hinshelwood,Jack Hinshelwood,MID,6,5.2,1.6
164,O'Riley,Matt O'Riley,MID,6,5.5,0.3
165,Sima,Abdallah Sima,MID,6,5.4,0.0
166,Ayari,Yasin Ayari,MID,6,4.8,0.4
167,Baleba,Carlos Baleba,MID,6,4.5,1.5
168,Buonanotte,Facundo Buonanotte,MID,11,4.6,0.1
169,Gomez,Diego Gómez Amarilla,MID,6,4.9,0.4
170,Milner,James Milner,MID,6,4.9,0.1
171,Sarmiento,Jeremy Sarmiento Morante,MID,6,4.9,0.0
172,Watson,Tom Watson,MID,6,4.8,0.0
173,Wieffer,Mats Wieffer,MID,6,4.8,0.3
174,Yalcouye,Malick Yalcouyé,MID,6,5.0,0.0
175,Knight,Joe Knight,MID,6,4.4,0.1
176,Mazilu,Adrian Mazilu,MID,6,4.5,0.0
177,Moran,Andrew Moran,MID,6,4.5,0.0
178,Welbeck,Danny Welbeck,FWD,6,6.3,8.4
179,Ferguson,Evan Ferguson,FWD,6,5.5,0.0
180,Tzimas,Stefanos Tzimas,FWD,6,5.2,0.1
181,Kostoulas,Charalampos Kostoulas,FWD,6,4.8,0.3
182,Trafford,James Trafford,GK,13,4.5,0.9
183,Weiss,Max Weiß,GK,3,4.2,0.2
184,Green,Etienne Green,GK,3,4.0,0.2
185,Hladký,Václav Hladký,GK,3,3.9,0.1
186,Roberts,Connor Roberts,DEF,3,4.3,0.0
187,Walker,Kyle Walker,DEF,3,4.4,1.2
188,Delcroix,Hannes Delcroix,DEF,3,3.8,0.2
189,Dodgson,Owen Dodgson,DEF,3,4.0,0.0
190,Ekdal,Hjalmar Ekdal,DEF,3,3.8,0.7
191,Estève,Maxime Estève,DEF,3,3.8,7.0
192,Hartman,Quilindschy Hartman,DEF,3,4.0,0.6
193,Humphreys,Bashir Humphreys,DEF,3,3.9,0.1
194,Jordan,Jordan Beyer,DEF,3,3.9,0.1
195,Lucas Pires,Lucas Pires Silva,DEF,3,3.8,0.3
196,Sambo,Shurandy Sambo,DEF,3,4.0,0.0
197,Sonne,Oliver Sonne,DEF,3,3.8,0.2
198,Tuanzebe,Axel Tuanzebe,DEF,3,3.9,0.9
199,Worrall,Joe Worrall,DEF,3,3.8,0.2
200,Anthony,Jaidon Anthony,MID,3,5.0,2.4
201,Benson,Manuel Benson Hedilazio,MID,3,5.4,0.0
202,Bruun Larsen,Jacob Bruun Larsen,MID,3,5.2,0.0
203,Boateng,Enock Agyei,MID,3,4.7,0.0
204,Churlinov,Darko Churlinov,MID,3,4.9,0.0
205,Cullen,Josh Cullen,MID,3,4.9,0.8
206,Edwards,Marcus Edwards,MID,3,4.7,0.1
207,Hannibal,Hannibal Mejbri,MID,3,4.7,0.1
208,Koleosho,Luca Koleosho,MID,3,5.0,0.0
209,Laurent,Josh Laurent,MID,3,4.8,0.0
210,Tchaouna,Loum Tchaouna,MID,3,4.8,0.0
211,A.Ramsey,Aaron Ramsey,MID,3,4.4,1.4
212,Adewumi,Oluwaseun Adewumi,MID,3,4.5,0.0
213,Banel,Jaydon Banel,MID,3,4.5,0.0
214,Trésor,Mike Trésor Ndayishimiye,MID,3,4.3,0.1
215,Flemming,Zian Flemming,FWD,3,5.3,0.8
216,Amdouni,Zeki Amdouni,FWD,3,4.8,0.0
217,Foster,Lyle Foster,FWD,3,4.9,0.7
218,Barnes,Ashley Barnes,FWD,3,4.2,1.2
219,Obafemi,Michael Obafemi,FWD,3,4.4,0.1
220,Sánchez,Robert Lynch Sánchez,GK,7,4.8,10.3
221,Jörgensen,Filip Jörgensen,GK,7,4.3,0.2
222,Penders,Mike Penders,GK,7,4.0,0.0
223,Slonina,Gabriel Słonina,GK,7,3.8,0.1
224,Cucurella,Marc Cucurella Saseta,DEF,7,6.1,14.6
225,James,Reece James,DEF,7,5.6,6.0
226,Chalobah,Trevoh Chalobah,DEF,7,5.4,8.8
227,Colwill,Levi Samuels Colwill,DEF,7,4.7,0.2
228,Gusto,Malo Gusto,DEF,7,4.8,1.7
229,B.Badiashile,Benoît Badiashile Mukinayi,DEF,7,4.4,0.0
230,Fofana,Wesley Fofana,DEF,7,4.4,0.4
231,M.Sarr,Mamadou Sarr,DEF,7,4.5,0.0
232,Tosin,Tosin Adarabioyo,DEF,7,4.0,0.3
233,Acheampong,Josh Acheampong,DEF,7,3.7,1.8
234,Anselmino,Aarón Anselmino,DEF,7,4.0,0.1
235,Palmer,Cole Palmer,MID,7,10.3,12.6
236,Neto,Pedro Lomba Neto,MID,7,7.0,3.9
237,Enzo,Enzo Fernández,MID,7,6.5,12.3
238,Estêvão,Estêvão Almeida de Oliveira Gonçalves,MID,7,6.4,1.7
239,Gittens,Jamie Bynoe-Gittens,MID,7,6.0,0.1
240,Nkunku,Christopher Nkunku,MID,7,5.9,0.1
241,Caicedo,Moisés Caicedo Corozo,MID,7,5.7,7.1
242,Dewsbury-Hall,Kiernan Dewsbury-Hall,MID,9,5.3,7.9
243,George,Tyrique George,MID,9,4.8,0.1
244,Lavia,Roméo Lavia,MID,7,4.9,0.0
245,Mudryk,Mykhailo Mudryk,MID,7,4.9,0.0
246,Andrey Santos,Andrey Nascimento dos Santos,MID,7,4.4,0.3
247,D.Essugo,Dário Luís Essugo,MID,7,4.3,0.1
248,Paez,Kendry Páez Andrade,MID,7,4.5,0.0
249,João Pedro,João Pedro Junqueira de Jesus,FWD,7,7.4,34.8
250,Delap,Liam Delap,FWD,7,6.2,0.9
251,N.Jackson,Nicolas Jackson,FWD,7,6.5,0.1
252,Marc Guiu,Marc Guiu Paz,FWD,7,4.0,5.2
253,Henderson,Dean Henderson,GK,8,5.1,9.0
254,Benitez,Walter Benítez,GK,8,3.9,0.3
255,Matthews,Remi Matthews,GK,8,3.9,0.1
256,Muñoz,Daniel Muñoz Mejía,DEF,8,5.9,9.2
257,Lacroix,Maxence Lacroix,DEF,8,5.2,7.1
258,Mitchell,Tyrick Mitchell,DEF,8,5.0,2.3
259,Sosa,Borna Sosa,DEF,8,4.8,0.1
260,Guéhi,Marc Guéhi,DEF,13,5.1,32.6
261,Richards,Chris Richards,DEF,8,4.4,2.2
262,Chadi Riad,Chadi Riad Dnanou,DEF,8,4.0,0.1
263,Clyne,Nathaniel Clyne,DEF,8,3.8,0.5
264,Holding,Rob Holding,DEF,8,4.0,0.0
265,Kporha,Caleb Kporha,DEF,8,4.0,0.0
266,Eze,Eberechi Eze,MID,1,7.3,8.7
267,Sarr,Ismaïla Sarr,MID,8,6.4,5.6
268,Doucouré,Cheick Doucouré,MID,8,4.9,0.0
269,Esse,Romain Esse,MID,8,4.7,0.1
270,Hughes,Will Hughes,MID,8,4.7,0.1
271,Kamada,Daichi Kamada,MID,8,5.0,0.1
272,Lerma,Jefferson Lerma Solís,MID,8,4.9,0.1
273,Wharton,Adam Wharton,MID,8,5.0,0.7
274,Agbinone,Asher Agbinone,MID,8,4.3,0.1
275,Ahamada,Naouirou Ahamada,MID,8,4.3,0.0
276,Devenny,Justin Devenny,MID,8,4.3,1.1
277,Ebiowei,Malcolm Ebiowei,MID,8,4.5,0.0
278,J.Rak-Sakyi,Jesurun Rak-Sakyi,MID,8,4.4,0.0
279,M.França,Matheus França de Oliveira,MID,8,4.5,0.0
280,Ozoh,David Ozoh,MID,8,4.5,0.0
281,Rodney,Kaden Rodney,MID,8,4.4,0.1
282,Umeh,Franco Umeh-Chibueze,MID,8,4.5,0.0
283,Mateta,Jean-Philippe Mateta,FWD,8,7.6,8.1
284,Nketiah,Eddie Nketiah,FWD,8,5.4,0.3
285,Édouard,Odsonne Édouard,FWD,8,5.0,0.2
286,Marsh,Zach Marsh,FWD,8,4.4,0.3
287,Pickford,Jordan Pickford,GK,9,5.6,13.0
288,Travers,Mark Travers,GK,9,4.2,0.1
289,Tyrer,Harry Tyrer,GK,9,3.9,0.1
290,Branthwaite,Jarrad Branthwaite,DEF,9,5.3,0.3
291,Tarkowski,James Tarkowski,DEF,9,5.8,12.6
292,Mykolenko,Vitalii Mykolenko,DEF,9,4.9,0.7
293,O'Brien,Jake O'Brien,DEF,9,4.9,0.7
294,Coleman,Séamus Coleman,DEF,9,4.2,0.1
295,Keane,Michael Keane,DEF,9,4.5,3.1
296,Patterson,Nathan Patterson,DEF,9,4.4,0.0
297,Dixon,Roman Dixon,DEF,9,3.8,0.2
298,Welch,Reece Welch,DEF,9,3.8,0.1
299,Ndiaye,Iliman Ndiaye,MID,9,6.3,4.7
300,McNeil,Dwight McNeil,MID,9,5.5,0.1
301,Alcaraz,Carlos Alcaraz Durán,MID,9,5.2,0.1
302,Gana,Idrissa Gana Gueye,MID,9,5.4,0.1
303,Garner,James Garner,MID,9,5.2,3.6
304,Iroegbunam,Tim Iroegbunam,MID,9,4.8,0.0
305,Armstrong,Harrison Armstrong,MID,9,4.5,0.1
306,Bates,Callum Bates,MID,9,4.3,0.1
307,Ebere,Coby Ebere,MID,9,4.4,0.0
308,Heath,Isaac Heath,MID,9,4.5,0.0
309,Metcalfe,Jenson Metcalfe,MID,9,4.5,0.0
310,Barry,Thierno Barry,FWD,9,5.7,0.8
311,Beto,Norberto Bercique Gomes Betuncal,FWD,9,5.1,3.3
312,Y.Chermiti,Youssef Ramalho Chermiti,FWD,9,4.9,0.1
313,Sherif,Martin Sherif,FWD,9,4.4,0.1
314,Leno,Bernd Leno,GK,10,5.0,2.3
315,Benda,Steven Benda,GK,10,4.0,0.0
316,Robinson,Antonee Robinson,DEF,10,4.9,0.9
317,Andersen,Joachim Andersen,DEF,10,4.4,2.8
318,Bassey,Calvin Bassey,DEF,10,4.4,0.8
319,Castagne,Timothy Castagne,DEF,10,4.3,0.2
320,Diop,Issa Diop,DEF,10,4.3,0.1
321,J.Cuenca,Jorge Cuenca Barreno,DEF,10,4.3,0.1
322,Tete,Kenny Tete,DEF,10,4.5,0.2
323,Amissah,Samuel Amissah,DEF,10,3.8,0.1
324,Iwobi,Alex Iwobi,MID,10,6.1,1.1
325,Smith Rowe,Emile Smith Rowe,MID,10,5.6,0.5
326,Adama,Adama Traoré Diarra,MID,19,5.1,0.1
327,Andreas,Andreas Hoelgebaum Pereira,MID,10,5.3,0.1
328,Sessegnon,Ryan Sessegnon,MID,10,5.4,0.1
329,Wilson,Harry Wilson,MID,10,5.8,17.4
330,Berge,Sander Berge,MID,10,4.9,0.1
331,Cairney,Tom Cairney,MID,10,4.8,0.0
332,Lukić,Saša Lukić,MID,10,4.9,0.1
333,Godo,Martial Godo,MID,10,4.5,0.0
334,Harris,Luke Harris,MID,10,4.5,0.0
335,King,Josh King,MID,10,4.4,1.6
336,Reed,Harrison Reed,MID,10,4.3,0.3
337,Raúl,Raúl Jiménez Rodríguez,FWD,10,5.9,1.8
338,Muniz,Rodrigo Muniz Carvalho,FWD,10,5.3,0.7
339,Meslier,Illan Meslier,GK,11,4.1,0.3
340,Cairns,Alex Cairns,GK,11,3.9,0.1
341,Darlow,Karl Darlow,GK,11,4.0,6.9
342,Bogle,Jayden Bogle,DEF,11,4.4,0.4
343,Struijk,Pascal Struijk,DEF,11,4.2,1.9
344,Bijol,Jaka Bijol,DEF,11,3.9,1.3
345,Bornauw,Sebastiaan Bornauw,DEF,11,3.8,0.1
346,Byram,Sam Byram,DEF,11,3.7,0.4
347,Gudmundsson,Gabriel Gudmundsson,DEF,11,3.8,2.5
348,Rodon,Joe Rodon,DEF,11,3.9,3.0
349,Schmidt,Isaac Schmidt,DEF,11,4.0,0.1
350,Aaronson,Brenden Aaronson,MID,11,5.4,0.8
351,Gnonto,Wilfried Gnonto,MID,11,5.1,0.1
352,Harrison,Jack Harrison,MID,11,5.1,0.0
353,James,Daniel James,MID,11,5.2,0.1
354,Ampadu,Ethan Ampadu,MID,11,4.9,0.6
355,Greenwood,Sam Greenwood,MID,11,4.9,0.0
356,Gruev,Ilia Gruev,MID,11,4.7,0.1
357,Ramazani,Largie Ramazani,MID,11,4.9,0.0
358,Tanaka,Tanaka Ao,MID,11,4.8,0.2
359,Crew,Charlie Crew,MID,11,4.5,0.0
360,Gelhardt,Joe Gelhardt,MID,11,4.5,0.0
361,Gyabi,Darko Gyabi,MID,11,4.5,0.0
362,Piroe,Joël Piroe,FWD,11,4.9,0.3
363,Bamford,Patrick Bamford,FWD,11,4.9,0.3
364,Mateo Joseph,Mateo Joseph Fernández-Regatillo,FWD,11,5.0,0.0
365,Nmecha,Lukas Nmecha,FWD,11,5.0,0.5
366,A.Becker,Alisson Becker,GK,12,5.4,5.1
367,Mamardashvili,Giorgi Mamardashvili,GK,12,4.1,0.7
368,Pécsi,Ármin Pécsi,GK,12,3.8,0.9
369,Woodman,Freddie Woodman,GK,12,3.9,0.3
370,Frimpong,Jeremie Frimpong,DEF,12,5.7,4.9
371,Kerkez,Milos Kerkez,DEF,12,5.6,2.9
372,Robertson,Andrew Robertson,DEF,12,5.7,1.2
373,Virgil,Virgil van Dijk,DEF,12,6.1,31.5
374,Konaté,Ibrahima Konaté,DEF,12,5.4,3.8
375,Bradley,Conor Bradley,DEF,12,4.9,0.1
376,Gomez,Joe Gomez,DEF,12,4.9,0.2
377,Tsimikas,Konstantinos Tsimikas,DEF,12,4.8,0.0
378,Nallo,Amara Nallo,DEF,12,3.7,0.9
379,R.Williams,Rhys Williams,DEF,12,3.7,0.5
380,Ramsay,Calvin Ramsay,DEF,12,3.7,0.3
381,M.Salah,Mohamed Salah,MID,12,14.0,15.2
382,Wirtz,Florian Wirtz,MID,12,8.3,8.5
383,Luis Díaz,Luis Díaz Marulanda,MID,12,8.0,0.0
384,Gakpo,Cody Gakpo,MID,12,7.3,5.6
385,Chiesa,Federico Chiesa,MID,12,6.3,0.3
386,Mac Allister,Alexis Mac Allister,MID,12,6.1,1.8
387,Szoboszlai,Dominik Szoboszlai,MID,12,7.1,15.1
388,C.Jones,Curtis Jones,MID,12,5.4,0.1
389,Elliott,Harvey Elliott,MID,2,5.1,0.2
390,Gravenberch,Ryan Gravenberch,MID,12,5.4,3.7
391,Gannon-Doak,Ben Gannon-Doak,MID,4,4.8,0.0
392,Endo,Endo Wataru,MID,12,4.9,0.1
393,Bajcetic,Stefan Bajčetić Maquieira,MID,12,4.2,0.2
394,McConnell,James McConnell,MID,12,4.4,0.0
395,Morton,Tyler Morton,MID,12,4.5,0.0
396,Nyoni,Trey Nyoni,MID,12,4.3,0.3
397,Darwin,Darwin Núñez Ribeiro,FWD,12,6.5,0.1
398,Danns,Jayden Danns,FWD,12,4.3,0.1
399,Ederson M.,Ederson Santana de Moraes,GK,13,5.3,0.8
400,Ortega Moreno,Stefan Ortega Moreno,GK,16,4.7,0.2
401,Bettinelli,Marcus Bettinelli,GK,13,3.8,0.4
402,Aït-Nouri,Rayan Aït-Nouri,DEF,13,5.7,4.1
403,Gvardiol,Joško Gvardiol,DEF,13,5.8,3.2
404,Akanji,Manuel Akanji,DEF,13,5.4,0.3
405,Aké,Nathan Aké,DEF,13,5.2,0.6
406,Khusanov,Abdukodir Khusanov,DEF,13,5.4,0.7
407,Matheus N.,Matheus Nunes,DEF,13,5.3,2.9
