position,samples,played,rmse,mae,r2,spearman,actual_mean,pred_mean
GK,2667,607,3.337877984496282,2.345646047757669,-0.4882531035463691,0.0022952723637011284,3.3113673805601316,1.8738443313249207
DEF,7614,3149,3.501998853760792,2.319246946095314,-0.2590435371810391,0.08831627161175791,3.027945379485551,1.699316811326952
MID,10357,4259,3.1743350700346626,2.0510061822701413,-0.22476908709986532,0.10863389306542055,2.9227518196759803,1.9819453215227028
FWD,2556,1109,3.4250029710175176,2.1925720766724925,-0.22673697723369846,0.15279800498833357,2.925157799819657,2.2293860903954386
