goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.06666151434183121,41,Sub,Newcastle United,Wolverhampton Wanderers,3,0,2024-03-02,22161,2023,644986,0,0,0,0,0.06666151434183121,0.15580320358276367,0.08914168924093246
0,0,0,41,Sub,Wolverhampton Wanderers,Brentford,0,2,2024-02-10,22134,2023,640255,0.027389468625187874,0,1,0,0,0.10414618998765945,0.07675672322511673
0,0,0,4,Sub,Wolverhampton Wanderers,Manchester United,3,4,2024-02-01,22111,2023,638124,0,0,0,0,0,0,0
