name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Man Utd,1.3,0,0,12,0,5.0,265,0.03,0.15,0.12,1.16,27,1,0,3.7,24.0,2023-08-26T14:00:00Z,90,20,0,0,0,0,3,0,165610,1,1,0,8.0,2,-19530,2716,22246,45,True,0
John McGinn,MID,Chelsea,0.5,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,6,0,0,0,0,3,0,121502,0,3,1,0.0,0,-6187,4239,10426,40,False,0
Cheikhou Kouyaté,MID,Aston Villa,0.3,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,3,0,0,0,0,3,0,11091,0,2,0,0.0,0,-1752,343,2095,54,False,0
Josh Dasilva,MID,Crystal Palace,0.7,0,0,0,0,0.0,83,0.00,0.00,0.00,0.00,22,0,0,0.0,0.0,2023-08-26T11:30:00Z,0,18,0,0,0,0,3,0,14511,0,2,0,0.0,0,78,1773,1695,44,True,0
Takehiro Tomiyasu,DEF,Bournemouth,5.5,0,0,10,0,12.4,14,0.14,0.25,0.11,0.29,21,1,0,4.8,11.8,2023-08-26T14:00:00Z,83,10,0,0,0,0,3,0,2222102,1,2,2,24.0,2,68376,166740,98364,85,True,0
James Garner,MID,Liverpool,2.7,0,0,4,0,0.5,570,0.03,0.31,0.28,0.06,27,0,0,1.6,3.2,2023-08-26T14:00:00Z,16,9,0,0,0,0,3,0,19613,0,1,0,12.0,1,2167,6342,4175,50,False,0
Raphaël Varane,DEF,Southampton,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,171,0,0,3,0.0,0,-48,0,48,50,False,0
Adam Lallana,MID,Everton,4.0,0,1,22,0,0.0,101,0.00,0.00,0.00,0.80,23,1,0,3.2,32.0,2023-08-26T14:00:00Z,90,8,0,0,0,0,3,4,221996,1,1,1,0.0,4,32134,48159,16025,45,True,0
Eddie Nketiah,FWD,Bournemouth,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,21,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,10,0,0,0,0,3,0,8103,0,2,2,0.0,0,-2907,0,2907,45,True,0
Charlie Goode,DEF,Everton,3.0,0,0,12,0,1.1,96,0.07,0.12,0.05,0.80,23,1,0,1.8,8.8,2023-08-26T14:00:00Z,90,8,0,0,0,0,3,0,34518,1,1,1,8.0,2,4828,6754,1926,45,True,0
Andros Townsend,MID,Leeds,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,1794,0,3,1,0.0,0,-197,0,197,40,True,0
Shandon Baptiste,MID,Everton,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,8,0,0,0,0,3,0,176,0,1,1,0.0,0,-27,0,27,45,True,0
Billy Gilmour,MID,Fulham,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,19,0,0,0,0,3,0,2530,0,3,1,0.0,0,-816,0,816,55,True,0
Illan Meslier,GK,Nott'm Forest,0.0,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,23,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,4,0,0,0,0,3,0,38468,0,1,1,0.0,0,-2914,793,3707,40,False,0
Ben Davies,DEF,Spurs,0.0,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,11,0,0,0,0,3,0,12665,0,2,1,0.0,0,-3597,68,3665,54,True,0
Eberechi Eze,MID,Leeds,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,25,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,2,0,0,0,0,3,0,14286,0,3,1,0.0,0,-843,269,1112,40,True,0
Dominic Calvert-Lewin,FWD,Leicester,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,12,0,0,0,0,3,0,3478,0,0,3,0.0,0,-675,90,765,44,True,0
Jonathan Panzo,DEF,Newcastle,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,28,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,16,0,0,0,0,3,0,3582,0,2,3,0.0,0,-687,72,759,44,True,0
Bruno Borges Fernandes,MID,Southampton,0.0,0,0,0,0,0.0,333,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,6775,0,0,3,0.0,0,-623,282,905,40,False,0
David Ozoh,MID,Brentford,0.0,0,0,0,0,0.0,676,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,5,0,0,0,0,3,0,488,0,3,1,0.0,0,305,345,40,45,False,0
James McArthur,MID,Fulham,1.3,0,0,3,0,24.8,154,0.19,0.23,0.04,2.18,24,2,0,4.0,5.4,2023-08-26T16:30:00Z,59,19,0,0,0,0,3,0,160732,1,3,1,10.0,1,-40190,8773,48963,59,True,0
Conor Gallagher,MID,Fulham,1.7,0,0,0,0,0.0,148,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,19,0,0,0,0,3,0,487732,0,3,1,0.0,0,-34587,17782,52369,45,True,0
Kepa Arrizabalaga,GK,Fulham,1.3,0,0,12,0,32.0,133,0.29,0.47,0.18,2.18,24,2,0,5.1,13.4,2023-08-26T16:30:00Z,59,19,0,0,0,0,3,0,9496,1,3,1,6.0,1,-520,762,1282,50,True,0
Halil Dervişoğlu,FWD,Brentford,0.0,0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,24,0,0,0.0,0.0,2023-08-26T16:30:00Z,0,5,0,0,0,0,3,0,3057,0,3,1,0.0,0,-825,0,825,60,False,0
Phil Jones,DEF,Southampton,0.5,0,0,3,0,0.0,328,0.00,0.00,0.00,0.08,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,13,7,0,0,0,0,3,0,12911,0,0,3,0.0,1,-1504,298,1802,50,False,0
Sergi Canós Tenés,DEF,Crystal Palace,4.0,0,0,-4,0,2.2,82,0.02,0.19,0.17,1.78,22,2,0,1.1,0.0,2023-08-26T11:30:00Z,72,18,0,0,0,0,3,0,246922,1,2,0,10.0,2,101529,131178,29649,45,True,0
Victor Lindelöf,DEF,Southampton,0.0,0,0,0,0,0.0,337,0.00,0.00,0.00,0.00,26,0,0,0.0,0.0,2023-08-25T19:00:00Z,0,7,0,0,0,0,3,0,630,0,0,3,0.0,0,-116,0,116,45,False,0
Joseph Hodge,MID,Liverpool,0.0,0,0,0,0,0.0,566,0.00,0.00,0.00,0.00,27,0,0,0.0,0.0,2023-08-26T14:00:00Z,0,9,0,0,0,0,3,0,15133,0,1,0,0.0,0,-8581,343,8924,50,False,0
N'Golo Kanté,MID,Fulham,4.3,0,3,39,0,89.8,134,0.30,0.46,0.16,3.33,24,3,1,19.8,70.0,2023-08-26T16:30:00Z,90,19,0,0,0,0,3,0,251479,1,3,1,38.0,10,-93646,4411,98057,64,True,0
Moussa Djenepo,MID,Spurs,0.0,0,0,0,0,0.0,418,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,11,0,0,0,0,3,0,522,0,2,1,0.0,0,-120,0,120,45,True,0
Jackson Smith,GK,Liverpool,2.3,0,0,3,0,2.7,557,0.00,0.00,0.00,0.62,27,0,0,0.3,0.6,2023-08-26T14:00:00Z,45,9,0,0,0,0,3,0,13293,1,1,0,0.0,1,919,2284,1365,55,False,0
Benjamin White,DEF,Bournemouth,1.2,0,0,11,0,4.7,10,0.03,0.35,0.32,0.53,21,2,0,3.5,16.0,2023-08-26T14:00:00Z,90,10,0,0,0,0,3,0,9160,1,2,2,14.0,1,-758,332,1090,44,True,0
Christian Saydee,FWD,Newcastle,4.2,0,0,8,0,0.0,597,0.00,0.00,0.00,1.24,28,2,0,1.4,13.6,2023-08-26T14:00:00Z,90,16,0,0,0,0,3,2,2756246,1,2,3,0.0,0,-14126,117188,131314,50,True,1
Anthony Gordon,MID,Leicester,5.2,0,0,22,1,51.6,195,0.28,0.37,0.09,0.41,26,0,0,7.6,9.6,2023-08-25T19:00:00Z,85,12,0,0,0,0,3,0,2799317,1,0,3,15.0,6,734875,795743,60868,57,True,0
Emiliano Martínez Romero,GK,Bournemouth,1.2,0,0,11,0,23.4,31,0.03,0.03,0.00,0.25,21,1,0,3.5,7.2,2023-08-26T14:00:00Z,34,10,0,0,0,0,3,0,501796,0,2,2,4.0,1,-45395,25463,70858,49,True,0
Daniel Amartey,DEF,Man Utd,0.7,0,0,2,0,0.3,257,0.00,0.00,0.00,0.28,27,0,0,0.4,0.0,2023-08-26T14:00:00Z,1,20,0,0,0,0,3,0,26734,0,1,0,4.0,1,-2553,895,3448,45,True,0
Kyle Walker-Peters,DEF,Spurs,0.0,0,0,0,0,0.0,409,0.00,0.00,0.00,0.00,29,0,0,0.0,0.0,2023-08-27T15:30:00Z,0,11,0,0,0,0,3,0,104849,0,2,1,0.0,0,-5270,1044,6314,40,True,0
Kjell Scherpen,GK,Brentford,3.3,0,0,6,0,0.1,542,0.00,0.00,0.00,0.56,24,0,0,0.8,7.4,2023-08-26T16:30:00Z,38,5,0,0,0,0,3,0,124573,1,3,1,0.0,1,-7672,9819,17491,50,False,0
Ben Mee,DEF,Brentford,7.7,1,2,38,0,10.9,526,0.03,1.31,1.28,1.52,24,1,1,11.8,61.4,2023-08-26T16:30:00Z,90,5,0,0,0,0,3,0,435235,1,3,1,46.0,12,-29033,26301,55334,70,False,0
José Malheiro de Sá,GK,West Ham,-0.4,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,30,0,0,0.0,0.0,2023-08-27T13:00:00Z,0,13,0,0,0,0,3,0,2934,0,2,1,0.0,0,-423,203,626,44,True,0
