name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Oliver Skipp,MID,Man City,0.0,0,0,0,0,0.0,441,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,2109,0,1,2,0.0,0,-1188,0,1188,45,True,0
Saïd Benrahma,MID,Man City,0.0,0,0,0,0,0.0,464,0.00,0.00,0.00,0.00,17,0,0,0.0,0.0,2023-08-18T18:45:00Z,0,17,0,0,0,0,2,0,31728,0,1,2,0.0,0,-7793,0,7793,45,True,0
Robert Kenedy Nunes do Nascimento,DEF,Fulham,0.5,0,0,4,0,11.7,138,0.01,0.01,0.00,0.18,20,0,0,1.7,3.2,2023-08-19T14:00:00Z,9,20,0,0,0,0,2,0,4810,0,4,1,2.0,1,-1889,44,1933,50,False,0
Jack Stacey,DEF,Newcastle,1.5,0,0,8,0,1.5,65,0.00,0.00,0.00,2.88,14,3,0,1.1,9.6,2023-08-19T14:00:00Z,62,11,0,0,0,0,2,0,1971,1,1,3,0.0,2,-37,197,234,50,False,0
Chris Mepham,DEF,Newcastle,-0.5,0,0,0,0,0.0,71,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,11,0,0,0,0,2,0,7263,0,1,3,0.0,0,-458,412,870,45,False,0
Mohammed Salisu,DEF,Crystal Palace,0.0,0,0,0,0,0.0,420,0.00,0.00,0.00,0.00,16,0,0,0.0,0.0,2023-08-19T19:00:00Z,0,13,0,0,0,0,2,0,1095,0,0,1,0.0,0,-337,0,337,40,False,0
Ben Pearson,MID,Newcastle,0.0,0,0,0,0,0.0,68,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,11,0,0,0,0,2,0,1888,0,1,3,0.0,0,-666,43,709,45,False,0
Fabio Henrique Tavares,MID,Brentford,2.0,0,0,9,0,33.8,282,0.08,0.08,0.00,1.94,13,2,0,4.9,13.0,2023-08-19T14:00:00Z,66,4,0,0,0,0,2,0,81757,1,3,0,2.0,1,-6612,1553,8165,50,True,1
Lucas Torreira di Pascua,MID,Everton,0.5,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,12,0,0,0.0,0.0,2023-08-21T19:00:00Z,0,8,0,0,0,0,2,0,15089,0,1,0,0.0,0,-3123,436,3559,55,False,0
Joe Ayodele-Aribo,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,512,0.00,0.00,0.00,0.00,18,0,0,0.0,0.0,2023-08-19T16:30:00Z,0,14,0,0,0,0,2,0,16468,0,0,2,0.0,0,-1313,714,2027,45,True,0
Çaglar Söyüncü,DEF,Brentford,3.0,0,0,8,0,11.3,267,0.01,0.03,0.02,1.94,13,2,0,2.0,2.6,2023-08-19T14:00:00Z,67,4,0,0,0,0,2,0,105836,1,3,0,6.0,2,4046,13051,9005,55,True,0
Hakim Ziyech,MID,Fulham,3.5,0,0,-1,0,1.1,135,0.01,0.17,0.16,1.15,20,1,0,2.4,8.2,2023-08-19T14:00:00Z,33,20,0,0,0,0,2,0,2500646,0,4,1,15.0,0,205492,266118,60626,55,False,1
Kofi Balmer,DEF,Southampton,0.5,0,0,4,0,0.1,642,0.00,0.00,0.00,0.13,19,0,0,0.2,2.2,2023-08-20T15:30:00Z,9,7,0,0,0,0,2,0,8425,0,1,3,0.0,1,-2135,598,2733,50,True,0
Lewis O'Brien,MID,Southampton,6.5,0,2,31,0,0.0,524,0.00,0.00,0.00,2.45,19,1,0,3.8,38.2,2023-08-20T15:30:00Z,90,7,0,0,1,0,2,3,2110039,1,1,3,0.0,10,50058,93606,43548,40,True,0
Mads Bech Sørensen,DEF,Man Utd,0.0,0,0,0,0,0.0,91,0.00,0.00,0.00,0.00,13,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,10,0,0,0,0,2,0,23754,0,3,0,0.0,0,-373,929,1302,40,False,0
Josh Onomah,MID,Leeds,2.0,0,0,13,0,30.5,216,0.23,0.29,0.06,1.80,19,3,0,8.3,15.0,2023-08-20T15:30:00Z,90,19,0,0,0,0,2,0,181498,1,1,3,37.0,2,7199,25125,17926,70,False,0
Yerry Mina,DEF,Leeds,0.0,0,0,0,0,0.0,188,0.00,0.00,0.00,0.00,19,0,0,0.0,0.0,2023-08-20T15:30:00Z,0,19,0,0,0,0,2,0,2801,0,1,3,0.0,0,-914,0,914,65,False,0
Kieffer Moore,FWD,Newcastle,0.5,0,0,1,0,1.8,62,0.00,0.00,0.00,2.88,14,3,0,0.4,0.6,2023-08-19T14:00:00Z,62,11,0,0,0,0,2,0,13422,1,1,3,2.0,1,-1340,727,2067,50,False,1
Nathan Tella,MID,Crystal Palace,1.5,0,0,-3,0,1.4,412,0.00,0.09,0.09,0.52,16,1,0,1.2,0.0,2023-08-19T19:00:00Z,55,13,0,0,0,0,2,0,52311,1,0,1,15.0,0,7376,12776,5400,55,False,1
João Cancelo,DEF,Brighton,0.5,0,0,0,0,0.0,306,0.00,0.00,0.00,0.00,14,0,0,0.0,0.0,2023-08-19T14:00:00Z,0,3,0,0,0,0,2,0,23303,0,1,3,0.0,0,-1409,1127,2536,40,True,0
