name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Crystal Palace,1.2,0,0,10,0,0.3,265,0.00,0.00,0.00,1.02,43,1,0,2.7,22.2,2023-09-17T15:30:00Z,90,1,0,0,0,0,5,0,134179,1,1,0,4.0,2,-25047,2240,27287,44,True,0
John McGinn,MID,Arsenal,0.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,41,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,8,0,0,0,0,5,0,111359,0,1,3,0.0,0,-4542,2710,7252,40,True,0
Cheikhou Kouyaté,MID,Liverpool,4.2,0,0,1,0,52.5,583,0.36,0.63,0.27,0.57,48,1,0,8.3,8.2,2023-09-16T14:00:00Z,79,17,0,0,0,0,5,0,22050,1,1,2,22.0,1,10501,12609,2108,53,True,1
Josh Dasilva,MID,Bournemouth,1.7,0,0,4,0,0.0,83,0.00,0.00,0.00,0.50,42,0,0,1.0,10.0,2023-09-17T13:00:00Z,16,7,0,0,0,0,5,0,15348,0,0,0,0.0,1,779,2223,1444,44,True,0
Takehiro Tomiyasu,DEF,Brentford,6.3,0,0,12,1,37.8,14,0.08,0.39,0.31,0.30,43,0,0,9.4,15.8,2023-09-17T15:30:00Z,90,9,0,0,0,0,5,0,2102450,1,1,0,40.0,3,905,104639,103734,85,False,0
James Garner,MID,Southampton,0.2,0,0,0,0,0.0,570,0.00,0.00,0.00,0.00,50,0,0,0.0,0.0,2023-09-16T11:30:00Z,0,11,0,0,0,0,5,0,15472,0,3,1,0.0,0,-2345,866,3211,50,True,0
Raphaël Varane,DEF,Brighton,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,44,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,10,0,0,0,0,5,0,147,0,0,1,0.0,0,-5,0,5,50,False,0
Adam Lallana,MID,Man Utd,1.8,0,0,6,0,0.0,101,0.00,0.00,0.00,1.43,46,1,0,0.7,6.6,2023-09-16T16:30:00Z,90,15,0,0,0,0,5,1,289170,1,0,1,0.0,1,10622,39379,28757,45,False,1
Eddie Nketiah,FWD,Brentford,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,43,0,0,0.0,0.0,2023-09-17T15:30:00Z,0,9,0,0,0,0,5,0,6063,0,1,0,0.0,0,-866,0,866,45,False,0
Charlie Goode,DEF,Man Utd,1.8,0,0,13,0,2.1,96,0.02,0.02,0.00,1.43,46,1,0,2.1,19.0,2023-09-16T16:30:00Z,90,15,0,0,0,0,5,0,40802,1,0,1,0.0,1,1710,5698,3988,45,False,1
Andros Townsend,MID,Spurs,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,1562,0,1,1,0.0,0,-121,0,121,40,False,0
Shandon Baptiste,MID,Man Utd,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,15,0,0,0,0,5,0,154,0,0,1,0.0,0,-9,0,9,45,False,0
Billy Gilmour,MID,Everton,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,14,0,0,0,0,5,0,1893,0,3,1,0.0,0,-288,0,288,55,False,0
Illan Meslier,GK,Aston Villa,0.2,0,0,7,0,0.2,238,0.00,0.00,0.00,3.21,41,3,0,1.8,17.6,2023-09-16T14:00:00Z,90,2,0,0,0,0,5,0,36827,1,1,3,0.0,1,-656,1794,2450,39,False,0
Ben Davies,DEF,Leicester,0.0,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,46,0,0,0.0,0.0,2023-09-16T16:30:00Z,0,4,0,0,0,0,5,0,9679,0,0,1,0.0,0,-1337,44,1381,54,True,0
Eberechi Eze,MID,Spurs,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,47,0,0,0.0,0.0,2023-09-18T18:45:00Z,0,16,0,0,0,0,5,0,13437,0,1,1,0.0,0,-508,206,714,40,False,0
Dominic Calvert-Lewin,FWD,Wolves,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,42,0,0,0.0,0.0,2023-09-17T13:00:00Z,0,3,0,0,0,0,5,0,2899,0,0,0,0.0,0,-275,92,367,44,False,0
Jonathan Panzo,DEF,Leeds,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,45,0,0,0.0,0.0,2023-09-16T14:00:00Z,0,5,0,0,0,0,5,0,2920,0,3,1,0.0,0,-342,58,400,44,True,0
