name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Aston Villa,2.2,0,0,7,0,0.3,265,0.06,0.06,0.00,2.24,85,2,0,2.9,24.8,2023-10-21T11:30:00Z,90,11,0,0,0,0,9,0,316232,1,0,2,4.0,0,-21601,18629,40230,45,False,1
John McGinn,MID,Arsenal,0.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,105319,0,1,4,0.0,0,68,4155,4087,39,True,0
Cheikhou Kouyaté,MID,West Ham,0.0,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,90,0,0,0.0,0.0,2023-10-23T19:00:00Z,0,10,0,0,0,0,9,0,12131,0,0,2,0.0,0,-4278,43,4321,52,True,0
Josh Dasilva,MID,Bournemouth,0.7,0,0,2,0,0.1,83,0.00,0.00,0.00,0.52,82,1,0,0.0,0.0,2023-10-21T14:00:00Z,5,20,0,0,0,0,9,0,14820,0,2,1,0.0,1,114,1079,965,44,True,0
Takehiro Tomiyasu,DEF,Newcastle,7.8,0,0,8,0,29.8,14,0.11,0.11,0.00,1.34,84,2,0,3.7,7.0,2023-10-21T16:30:00Z,77,7,0,0,0,0,9,0,2374067,1,2,2,0.0,2,42087,126893,84806,85,False,0
James Garner,MID,Brentford,0.0,0,0,-2,0,11.3,570,0.03,0.10,0.07,0.04,82,0,0,2.1,0.2,2023-10-21T14:00:00Z,15,3,0,0,0,0,9,0,10282,0,2,1,9.0,0,-639,267,906,48,False,1
Raphaël Varane,DEF,Man Utd,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,130,0,2,2,0.0,0,-1,0,1,50,False,0
Adam Lallana,MID,Crystal Palace,3.2,0,0,24,1,0.0,101,0.00,0.00,0.00,1.14,83,0,0,1.0,9.8,2023-10-21T14:00:00Z,90,6,0,0,0,0,9,1,301633,1,0,3,0.0,6,-22075,9110,31185,45,True,0
Eddie Nketiah,FWD,Newcastle,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,0,0,0,9,0,5111,0,2,2,0.0,0,-158,0,158,45,False,0
Charlie Goode,DEF,Crystal Palace,3.2,0,0,24,1,3.8,96,0.00,0.00,0.00,1.14,83,0,0,2.4,18.6,2023-10-21T14:00:00Z,90,6,0,0,0,0,9,0,57485,1,0,3,2.0,6,8672,12391,3719,45,True,0
Andros Townsend,MID,Chelsea,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,1316,0,0,3,0.0,0,-43,0,43,40,False,0
Shandon Baptiste,MID,Crystal Palace,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,6,0,0,0,0,9,0,141,0,0,3,0.0,0,-4,0,4,45,True,0
Billy Gilmour,MID,Nott'm Forest,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,13,0,0,0,0,9,0,1578,0,1,2,0.0,0,-48,0,48,55,False,0
Illan Meslier,GK,Brighton,0.2,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,52200,0,0,4,0.0,0,3059,5578,2519,39,False,0
Ben Davies,DEF,Liverpool,0.1,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,8167,0,0,4,0.0,0,-164,69,233,53,True,0
Eberechi Eze,MID,Chelsea,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,15894,0,0,3,0.0,0,966,1550,584,39,False,0
Dominic Calvert-Lewin,FWD,Fulham,-0.4,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,2670,0,2,2,0.0,0,-19,86,105,44,True,0
Jonathan Panzo,DEF,Everton,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,17,0,0,0,0,9,0,2530,0,2,1,0.0,0,-87,31,118,43,False,0
Bruno Borges Fernandes,MID,Man Utd,0.0,0,0,0,0,0.0,333,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,6016,0,2,2,0.0,0,-33,506,539,39,False,0
David Ozoh,MID,Spurs,0.3,0,0,0,0,0.0,676,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,1935,0,1,4,0.0,0,-2,145,147,45,False,0
James McArthur,MID,Nott'm Forest,-0.3,0,0,3,0,0.3,154,0.00,0.00,0.00,0.28,86,1,0,0.0,0.0,2023-10-21T14:00:00Z,15,13,0,0,0,0,9,0,100117,1,1,2,0.0,1,-4953,4327,9280,58,False,0
Conor Gallagher,MID,Nott'm Forest,-0.3,0,0,16,0,0.0,148,0.00,0.00,0.00,0.75,86,2,0,2.8,27.6,2023-10-21T14:00:00Z,90,13,0,0,0,0,9,3,267375,1,1,2,0.0,2,-22812,2231,25043,43,False,0
Kepa Arrizabalaga,GK,Nott'm Forest,0.0,0,0,5,0,0.9,133,0.00,0.00,0.00,0.28,86,0,0,0.4,2.6,2023-10-21T14:00:00Z,24,13,0,0,0,0,9,0,58265,0,1,2,0.0,1,-4843,2616,7459,49,False,0
Halil Dervişoğlu,FWD,Spurs,0.0,0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,2,0,0,0,0,9,0,2206,0,1,4,0.0,0,-41,0,41,60,False,0
Phil Jones,DEF,Man Utd,3.0,0,2,41,0,23.5,328,0.40,0.78,0.38,2.97,88,2,1,10.0,46.4,2023-10-21T14:00:00Z,90,16,0,0,0,0,9,0,11721,1,2,2,30.0,8,-34,723,757,49,False,0
Sergi Canós Tenés,DEF,Bournemouth,0.3,0,0,0,0,0.0,82,0.00,0.00,0.00,0.00,82,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,20,0,0,0,0,9,0,278027,0,2,1,0.0,0,-10486,12546,23032,45,True,0
Victor Lindelöf,DEF,Man Utd,0.0,0,0,0,0,0.0,337,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,16,0,0,0,0,9,0,450,0,2,2,0.0,0,-14,0,14,45,False,0
Joseph Hodge,MID,Leicester,1.7,0,0,0,0,0.0,566,0.00,0.00,0.00,0.00,86,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,5,0,0,0,0,9,0,17661,0,1,2,0.0,0,-1566,1069,2635,50,True,0
N'Golo Kanté,MID,Nott'm Forest,0.3,0,0,9,0,5.5,134,0.02,0.16,0.14,0.75,86,2,0,1.5,3.2,2023-10-21T14:00:00Z,90,13,0,0,0,0,9,0,151596,1,1,2,6.0,2,-3443,4998,8441,63,False,0
Moussa Djenepo,MID,Liverpool,0.0,0,0,0,0,0.0,418,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,369,0,0,4,0.0,0,-5,0,5,45,True,0
Jackson Smith,GK,Brentford,7.3,1,0,15,0,37.5,557,0.55,1.05,0.50,0.61,82,1,0,7.7,23.0,2023-10-21T14:00:00Z,90,3,0,0,0,0,9,0,155124,1,2,1,16.0,4,92111,102479,10368,54,False,1
Benjamin White,DEF,Newcastle,0.5,0,0,0,0,0.0,10,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,0,0,0,9,0,8796,0,2,2,0.0,0,-207,154,361,43,False,0
Christian Saydee,FWD,Everton,3.3,0,0,18,0,0.0,597,0.00,0.00,0.00,1.38,89,1,0,3.2,31.8,2023-10-21T19:00:00Z,90,17,0,0,0,0,9,5,1686805,1,2,1,0.0,3,-126198,17481,143679,49,False,0
Anthony Gordon,MID,Fulham,0.0,0,0,0,0,0.0,195,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,736420,0,2,2,0.0,0,-189194,327,189521,55,True,0
Emiliano Martínez Romero,GK,Newcastle,4.8,0,0,0,0,1.5,31,0.01,0.01,0.00,1.18,84,1,0,0.0,0.0,2023-10-21T16:30:00Z,45,7,0,0,0,0,9,0,575220,1,2,2,0.0,0,20903,43414,22511,49,False,1
Daniel Amartey,DEF,Aston Villa,-0.5,0,0,0,0,0.3,257,0.02,0.02,0.00,1.71,85,2,0,1.0,7.8,2023-10-21T11:30:00Z,45,11,0,0,0,0,9,0,21405,0,0,2,2.0,0,-727,313,1040,43,False,0
Kyle Walker-Peters,DEF,Liverpool,0.5,0,0,0,0,0.0,409,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,8,0,0,0,0,9,0,99726,0,0,4,0.0,0,142,3029,2887,39,True,0
Antoine Semenyo,FWD,Man City,1.2,0,0,0,0,0.0,714,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,17262,0,2,2,0.0,0,2592,4817,2225,50,True,0
Kjell Scherpen,GK,Spurs,6.0,0,0,3,0,0.7,542,0.00,0.11,0.11,1.65,81,2,0,0.6,0.0,2023-10-22T15:30:00Z,66,2,0,0,0,0,9,0,119608,1,1,4,8.0,2,40759,48741,7982,49,False,0
Ben Mee,DEF,Spurs,6.3,0,1,25,0,1.4,526,0.00,0.10,0.10,2.02,81,4,1,6.7,44.0,2023-10-22T15:30:00Z,90,2,0,0,0,0,9,0,1926760,1,1,4,22.0,8,133481,229701,96220,73,False,0
José Malheiro de Sá,GK,Southampton,-1.0,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,4456,0,2,1,0.0,0,4,300,296,44,True,0
Gabriel dos Santos Magalhães,DEF,Newcastle,0.0,0,0,0,0,0.0,16,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,7,0,0,0,0,9,0,4974,0,2,2,0.0,0,-166,0,166,49,False,0
Taylor Richards,MID,Crystal Palace,0.5,0,0,0,0,0.0,121,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,6,0,0,0,0,9,0,7119,0,0,3,0.0,0,-104,167,271,44,True,0
Dale Taylor,FWD,Southampton,0.0,0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,459,0,2,1,0.0,0,-48,13,61,50,True,0
Lucas Digne,DEF,Southampton,1.0,0,0,6,0,12.0,33,0.01,0.22,0.21,1.05,89,2,0,5.8,7.2,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,0,878173,1,2,1,39.0,2,52192,99203,47011,45,True,0
Ezri Konsa Ngoyo,DEF,Arsenal,0.0,0,0,0,0,0.0,44,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,27939,0,1,4,0.0,0,-1562,2183,3745,50,True,0
Jordan Smith,GK,Chelsea,0.5,0,0,0,0,0.0,675,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,5164,0,0,3,0.0,0,128,899,771,50,False,0
Allan Marques Loureiro,MID,Chelsea,0.0,0,0,0,0,0.0,183,0.00,0.00,0.00,0.00,83,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,4,0,0,0,0,9,0,4767,0,0,3,0.0,0,-116,0,116,55,False,0
Ben Godfrey,DEF,Fulham,0.0,0,0,0,0,0.0,193,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,36598,0,2,2,0.0,0,-9043,6553,15596,49,True,0
Phil Foden,MID,Man Utd,3.3,0,0,26,0,11.2,314,0.02,0.65,0.63,0.10,88,1,1,7.6,35.4,2023-10-21T14:00:00Z,18,16,0,0,0,0,9,0,62248,0,2,2,29.0,5,1277,5917,4640,48,False,0
Matthew Cox,GK,Liverpool,1.2,0,0,2,0,0.8,633,0.00,0.00,0.00,0.82,87,0,0,0.8,6.8,2023-10-21T14:00:00Z,21,8,0,0,0,0,9,0,17812,0,0,4,0.0,1,-779,501,1280,44,True,0
Rodrigo Bentancur,MID,Man City,0.0,0,0,0,0,0.0,440,0.00,0.00,0.00,0.00,88,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,12,0,0,0,0,9,0,245,0,2,2,0.0,0,-10,0,10,45,True,0
Junior Firpo Adames,DEF,Brighton,0.8,0,0,0,0,0.0,239,0.00,0.00,0.00,0.00,87,0,0,0.0,0.0,2023-10-21T14:00:00Z,0,15,0,0,0,0,9,0,7362,0,0,4,0.0,0,1177,1694,517,44,False,0
Felipe Augusto de Almeida Monteiro,DEF,Southampton,0.2,0,0,0,0,0.0,730,0.00,0.00,0.00,0.00,89,0,0,0.0,0.0,2023-10-21T19:00:00Z,0,14,0,0,0,0,9,0,0,0,2,1,0.0,0,0,0,0,45,True,0
Gabriel Martinelli Silva,MID,Newcastle,3.9,1,0,20,0,43.3,19,0.16,0.16,0.00,1.36,84,2,0,8.2,33.0,2023-10-21T16:30:00Z,90,7,0,0,0,0,9,0,4680006,1,2,2,6.0,5,-470223,59119,529342,85,False,0
Mathias Jorgensen,DEF,Bournemouth,1.3,0,0,7,0,5.8,595,0.06,0.06,0.00,1.54,82,1,0,1.3,7.4,2023-10-21T14:00:00Z,84,20,0,0,0,0,9,0,22565,1,2,1,0.0,2,102,1645,1543,45,True,0
Marcos Senesi,DEF,Southampton,-0.3,0,0,15,0,0.8,576,0.00,0.01,0.01,1.05,89,2,0,1.8,12.6,2023-10-21T19:00:00Z,90,14,0,0,0,0,9,0,9028,1,2,1,5.0,1,-608,184,792,44,True,0
Denis Zakaria,MID,Leicester,2.3,0,0,17,0,7.3,616,0.03,0.06,0.03,0.83,86,1,0,3.8,23.6,2023-10-21T14:00:00Z,90,5,0,0,0,0,9,0,467479,1,1,2,7.0,2,-14963,16552,31515,50,True,0
Nathan Fraser,FWD,Brighton,0.8,0,0,3,0,13.1,657,0.02,0.23,0.22,0.65,87,1,0,3.7,5.2,2023-10-21T14:00:00Z,29,15,0,0,0,0,9,0,2854,0,0,4,19.0,1,935,1238,303,45,False,0
Cameron Archer,FWD,Arsenal,0.0,0,0,0,0,0.0,54,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,7220,0,1,4,0.0,0,-381,0,381,45,True,0
Mason Holgate,DEF,Fulham,-0.5,0,0,0,0,0.0,192,0.00,0.00,0.00,0.00,84,0,0,0.0,0.0,2023-10-21T16:30:00Z,0,1,0,0,0,0,9,0,1840,0,2,2,0.0,0,-64,57,121,40,True,0
Marvelous Nakamba,MID,Arsenal,0.7,0,0,0,0,0.0,41,0.00,0.00,0.00,0.00,81,0,0,0.0,0.0,2023-10-22T15:30:00Z,0,19,0,0,0,0,9,0,31718,0,1,4,0.0,0,1175,2085,910,44,True,0
