name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Leeds,2.0,0,0,8,0,0.3,265,0.03,0.07,0.04,1.50,5,1,0,1.9,10.4,2023-08-12T14:00:00Z,90,10,0,0,0,0,1,0,179311,1,1,0,8.0,2,0,0,0,45,True,0
John McGinn,MID,Brentford,0.5,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,118764,0,1,5,0.0,0,0,0,0,40,False,0
Cheikhou Kouyaté,MID,Southampton,2.1,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,4,0,0,0,0,1,0,12735,0,2,2,0.0,0,0,0,0,55,False,0
Josh Dasilva,MID,Everton,2.0,0,0,9,0,0.5,83,0.02,0.02,0.00,0.84,3,1,0,1.7,16.2,2023-08-12T14:00:00Z,59,19,0,0,0,0,1,0,13935,1,1,1,0.0,1,0,0,0,45,True,0
Takehiro Tomiyasu,DEF,Bournemouth,3.4,0,0,11,0,23.4,14,0.09,0.20,0.11,1.18,2,1,0,4.9,12.0,2023-08-12T12:00:00Z,90,16,0,0,0,0,1,0,1941821,1,1,2,14.0,2,0,0,0,85,True,0
James Garner,MID,Man City,1.1,0,0,6,1,35.0,570,0.30,0.36,0.06,0.74,10,0,0,5.5,11.0,2023-08-14T19:00:00Z,62,14,0,0,0,0,1,0,7757,1,0,1,9.0,3,0,0,0,50,False,0
Raphaël Varane,DEF,Liverpool,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,319,0,1,4,0.0,0,0,0,0,50,False,0
Adam Lallana,MID,Spurs,2.4,0,0,17,0,0.0,101,0.00,0.00,0.00,1.26,8,2,0,3.5,34.8,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,4,159379,1,2,2,0.0,2,0,0,0,45,True,0
Eddie Nketiah,FWD,Bournemouth,1.5,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,12856,0,1,2,0.0,0,0,0,0,45,True,0
Charlie Goode,DEF,Spurs,2.0,0,0,16,0,0.7,96,0.01,0.01,0.00,1.26,8,2,0,2.6,20.8,2023-08-13T13:00:00Z,90,18,0,0,0,0,1,0,22146,1,2,2,4.0,1,0,0,0,45,True,0
Andros Townsend,MID,Crystal Palace,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,2410,0,3,0,0.0,0,0,0,0,40,True,0
Shandon Baptiste,MID,Spurs,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2023-08-13T13:00:00Z,0,18,0,0,0,0,1,0,261,0,2,2,0.0,0,0,0,0,45,True,0
Billy Gilmour,MID,Fulham,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,12,0,0,0,0,1,0,5831,0,1,4,0.0,0,0,0,0,55,True,0
Illan Meslier,GK,Nott'm Forest,1.5,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,41279,0,1,0,0.0,0,0,0,0,40,False,0
Ben Davies,DEF,Leicester,0.0,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,24096,0,1,5,0.0,0,0,0,0,55,True,0
Eberechi Eze,MID,Crystal Palace,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,13985,0,3,0,0.0,0,0,0,0,40,True,0
Dominic Calvert-Lewin,FWD,Man Utd,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,5644,0,1,1,0.0,0,0,0,0,45,True,0
Jonathan Panzo,DEF,West Ham,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,10,0,0,0.0,0.0,2023-08-14T19:00:00Z,0,20,0,0,0,0,1,0,6007,0,0,1,0.0,0,0,0,0,45,True,0
Bruno Borges Fernandes,MID,Liverpool,0.0,0,0,0,0,0.0,333,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,8682,0,1,4,0.0,0,0,0,0,40,False,0
James McArthur,MID,Fulham,2.6,0,0,5,1,1.9,154,0.10,0.41,0.31,0.41,4,0,0,3.9,3.8,2023-08-12T14:00:00Z,77,12,0,0,0,0,1,0,204885,1,1,4,33.0,2,0,0,0,60,True,0
Conor Gallagher,MID,Fulham,2.9,0,0,18,0,0.0,148,0.00,0.00,0.00,1.45,4,1,0,2.2,22.2,2023-08-12T14:00:00Z,90,12,0,0,0,0,1,2,490913,1,1,4,0.0,2,0,0,0,45,True,0
Kepa Arrizabalaga,GK,Fulham,2.1,0,0,4,0,5.0,133,0.05,0.07,0.02,1.04,4,1,0,1.8,6.0,2023-08-12T14:00:00Z,16,12,0,0,0,0,1,0,8698,0,1,4,7.0,1,0,0,0,50,True,0
Halil Dervişoğlu,FWD,Chelsea,0.0,0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,3,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,3,0,0,0,0,1,0,6973,0,1,1,0.0,0,0,0,0,60,False,0
Phil Jones,DEF,Liverpool,0.9,0,0,3,0,0.3,328,0.00,0.00,0.00,1.76,4,2,0,0.5,0.4,2023-08-12T14:00:00Z,14,5,0,0,0,0,1,0,14400,0,1,4,4.0,1,0,0,0,50,False,0
Sergi Canós Tenés,DEF,Everton,0.8,1,0,11,0,2.3,82,0.01,0.08,0.07,0.19,3,0,0,0.5,0.0,2023-08-12T14:00:00Z,15,19,0,0,0,0,1,0,65212,0,1,1,3.0,4,0,0,0,45,True,0
Victor Lindelöf,DEF,Liverpool,0.0,0,0,0,0,0.0,337,0.00,0.00,0.00,0.00,4,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,5,0,0,0,0,1,0,949,0,1,4,0.0,0,0,0,0,45,False,0
Joseph Hodge,MID,Man City,1.1,0,0,10,0,27.8,566,0.08,0.08,0.00,1.46,10,1,0,5.4,24.6,2023-08-14T19:00:00Z,90,14,0,0,0,0,1,0,18442,1,0,1,2.0,2,0,0,0,50,False,0
N'Golo Kanté,MID,Fulham,2.8,0,0,18,0,73.4,134,0.47,0.96,0.49,1.45,4,1,0,13.6,29.0,2023-08-12T14:00:00Z,90,12,0,0,0,0,1,0,374471,1,1,4,34.0,2,0,0,0,65,True,0
Moussa Djenepo,MID,Leicester,0.0,0,0,0,0,0.0,418,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,956,0,1,5,0.0,0,0,0,0,45,True,0
Jackson Smith,GK,Man City,1.6,0,0,2,0,6.5,557,0.35,0.69,0.34,0.72,10,1,0,3.1,0.0,2023-08-14T19:00:00Z,27,14,0,0,0,0,1,0,9219,0,0,1,26.0,1,0,0,0,55,False,0
Benjamin White,DEF,Bournemouth,2.5,0,0,0,0,0.0,10,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,8740,0,1,2,0.0,0,0,0,0,45,True,0
Christian Saydee,FWD,West Ham,3.7,0,1,32,1,0.0,597,0.00,0.00,0.00,2.27,10,0,0,4.8,48.2,2023-08-14T19:00:00Z,90,20,0,0,0,0,1,6,2252615,1,0,1,0.0,9,0,0,0,50,True,0
Anthony Gordon,MID,Man Utd,2.1,1,2,24,0,16.6,195,0.23,0.34,0.11,1.26,9,1,0,6.3,23.6,2023-08-13T15:30:00Z,89,11,0,0,0,0,1,0,1071098,1,1,1,23.0,7,0,0,0,55,True,0
Emiliano Martínez Romero,GK,Bournemouth,2.8,0,0,0,0,0.0,31,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,561504,0,1,2,0.0,0,0,0,0,50,True,0
Daniel Amartey,DEF,Leeds,2.0,0,0,16,0,1.5,257,0.02,0.06,0.04,1.50,5,1,0,5.6,20.6,2023-08-12T14:00:00Z,90,10,0,0,0,0,1,0,21879,1,1,0,34.0,2,0,0,0,45,True,0
Kyle Walker-Peters,DEF,Leicester,1.5,0,0,0,0,0.0,409,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,104503,0,1,5,0.0,0,0,0,0,40,True,0
Kjell Scherpen,GK,Chelsea,1.6,1,2,24,0,11.0,542,0.01,0.38,0.37,1.37,3,1,0,6.0,32.8,2023-08-12T14:00:00Z,90,3,0,0,0,0,1,0,89660,1,1,1,16.0,7,0,0,0,50,False,0
Ben Mee,DEF,Chelsea,2.5,0,3,29,0,43.5,526,0.35,0.57,0.22,1.37,3,1,1,11.7,40.8,2023-08-12T14:00:00Z,90,3,0,0,0,0,1,0,343463,1,1,1,33.0,9,0,0,0,70,False,1
José Malheiro de Sá,GK,Newcastle,0.1,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,8,0,0,0,0,1,0,3900,0,1,0,0.0,0,0,0,0,45,True,0
Gabriel dos Santos Magalhães,DEF,Bournemouth,2.1,0,0,0,0,0.0,16,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,16,0,0,0,0,1,0,6884,0,1,2,0.0,0,0,0,0,50,True,0
Taylor Richards,MID,Spurs,2.0,0,0,8,0,17.1,121,0.11,0.11,0.00,0.12,8,0,0,2.7,9.8,2023-08-13T13:00:00Z,6,18,0,0,0,0,1,0,7179,0,2,2,0.0,1,0,0,0,45,True,0
Lucas Digne,DEF,Brentford,0.5,0,0,0,0,0.0,33,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,532337,0,1,5,0.0,0,0,0,0,45,False,0
Ezri Konsa Ngoyo,DEF,Brentford,0.0,0,0,0,0,0.0,44,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,15,0,0,0,0,1,0,4236,0,1,5,0.0,0,0,0,0,50,False,0
Allan Marques Loureiro,MID,Crystal Palace,0.0,0,0,0,0,0.0,183,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,13,0,0,0,0,1,0,19028,0,3,0,0.0,0,0,0,0,55,True,0
Ben Godfrey,DEF,Man Utd,0.0,0,0,0,0,0.0,193,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,5933,0,1,1,0.0,0,0,0,0,50,True,0
Phil Foden,MID,Liverpool,0.9,0,0,5,0,10.8,314,0.09,0.09,0.00,1.55,4,1,0,1.6,5.0,2023-08-12T14:00:00Z,63,5,0,0,0,0,1,0,96850,1,1,4,0.0,2,0,0,0,50,False,0
Matthew Cox,GK,Leicester,2.5,0,0,0,0,0.0,633,0.00,0.00,0.00,0.00,6,0,0,0.0,0.0,2023-08-12T16:30:00Z,0,2,0,0,0,0,1,0,19347,0,1,5,0.0,0,0,0,0,45,True,0
Rodrigo Bentancur,MID,Aston Villa,0.0,0,0,0,0,0.0,440,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2023-08-12T12:00:00Z,0,1,0,0,0,0,1,0,554,0,1,2,0.0,0,0,0,0,45,False,0
Junior Firpo Adames,DEF,Nott'm Forest,1.5,0,0,0,0,0.0,239,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,5260,0,1,0,0.0,0,0,0,0,45,False,0
Gabriel Martinelli Silva,MID,Bournemouth,3.4,0,3,37,0,46.2,19,0.17,0.36,0.19,1.18,2,1,1,13.9,53.8,2023-08-12T12:00:00Z,90,16,0,0,0,0,1,0,4878155,1,1,2,39.0,10,0,0,0,85,True,0
Mathias Jorgensen,DEF,Everton,2.0,0,0,11,0,15.8,595,0.05,0.05,0.00,1.07,3,1,0,3.3,15.6,2023-08-12T14:00:00Z,90,19,0,0,0,0,1,0,18643,1,1,1,2.0,2,0,0,0,45,True,0
Marcos Senesi,DEF,Newcastle,1.5,0,0,10,0,0.6,576,0.00,0.00,0.00,1.80,7,1,0,2.0,17.2,2023-08-12T14:00:00Z,79,8,0,0,0,0,1,0,6562,1,1,0,2.0,2,0,0,0,45,True,0
Denis Zakaria,MID,Arsenal,3.8,0,0,7,0,1.5,616,0.00,0.00,0.00,0.07,1,0,0,0.9,5.4,2023-08-11T19:00:00Z,11,6,0,0,0,0,1,0,249939,0,3,0,2.0,1,0,0,0,50,False,0
Nathan Fraser,FWD,Nott'm Forest,1.5,0,0,0,0,0.0,657,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2023-08-12T14:00:00Z,0,17,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,45,False,0
Cameron Archer,FWD,Brentford,0.5,0,0,3,0,0.3,54,0.00,0.00,0.00,0.65,6,1,0,0.3,0.4,2023-08-12T16:30:00Z,3,15,0,0,0,0,1,0,10520,0,1,5,2.0,1,0,0,0,45,False,0
Mason Holgate,DEF,Man Utd,0.0,0,0,0,0,0.0,192,0.00,0.00,0.00,0.00,9,0,0,0.0,0.0,2023-08-13T15:30:00Z,0,11,0,0,0,0,1,0,2183,0,1,1,0.0,0,0,0,0,40,True,0
Marvelous Nakamba,MID,Brentford,1.5,0,0,6,0,0.4,41,0.00,0.27,0.27,1.64,6,2,0,4.7,9.4,2023-08-12T16:30:00Z,26,15,0,0,0,0,1,0,36482,0,1,5,37.0,0,0,0,0,45,False,0
Tom Heaton,GK,Arsenal,0.0,0,0,0,0,0.0,348,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2023-08-11T19:00:00Z,0,6,0,0,0,0,1,0,72,0,3,0,0.0,0,0,0,0,45,False,0
