name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Aston Villa,2.7,0,0,13,0,0.4,265,0.02,0.02,0.00,2.24,116,2,0,4.6,39.2,2023-11-11T15:00:00Z,90,8,0,0,0,0,12,0,334479,1,3,2,6.0,1,19173,33769,14596,44,False,0
John McGinn,MID,Bournemouth,0.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,10,0,0,0,0,12,0,104305,0,1,3,0.0,0,-1134,2156,3290,39,True,0
Cheikhou Kouyaté,MID,Everton,0.0,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,120,0,0,0.0,0.0,2023-11-11T12:30:00Z,0,20,0,0,0,0,12,0,9258,0,1,2,0.0,0,-512,26,538,52,False,0
Paul Onuachu,FWD,Southampton,0.0,0,0,0,0,0.0,732,0.00,0.00,0.00,0.00,112,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,2,0,0,0,0,12,0,438,0,1,3,0.0,0,23,113,90,40,False,0
Josh Dasilva,MID,Brentford,1.2,0,0,24,1,1.4,83,0.01,0.01,0.00,0.51,113,0,0,1.3,11.4,2023-11-11T17:30:00Z,90,15,0,0,0,0,12,0,12915,1,0,2,0.0,5,-399,115,514,43,True,1
Takehiro Tomiyasu,DEF,Arsenal,0.8,0,0,0,0,0.0,14,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,6,0,0,0,0,12,0,1525026,0,1,3,0.0,0,-400725,5747,406472,84,True,0
James Garner,MID,Newcastle,3.7,1,2,34,0,13.3,570,0.29,0.56,0.27,0.20,120,0,1,8.2,51.4,2023-11-11T12:30:00Z,3,18,0,0,0,0,12,0,9048,0,1,2,17.0,11,-398,107,505,47,True,0
Raphaël Varane,DEF,West Ham,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,124,0,0,1,0.0,0,-3,0,3,50,False,0
Adam Lallana,MID,Leeds,2.5,0,0,27,0,0.0,101,0.00,0.00,0.00,1.53,117,3,0,4.5,44.6,2023-11-12T14:00:00Z,90,11,0,0,0,0,12,8,267923,1,0,3,0.0,3,-24002,2879,26881,45,False,0
Eddie Nketiah,FWD,Arsenal,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,6,0,0,0,0,12,0,4828,0,1,3,0.0,0,-81,0,81,45,True,0
Charlie Goode,DEF,Leeds,5.2,0,0,14,0,10.9,96,0.05,0.15,0.10,1.53,117,3,0,4.6,28.6,2023-11-12T14:00:00Z,90,11,0,0,0,0,12,0,84429,1,0,3,6.0,1,26452,31520,5068,45,False,0
Andros Townsend,MID,Man City,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,1,0,0,0,0,12,0,1230,0,1,3,0.0,0,-15,0,15,40,False,0
Shandon Baptiste,MID,Leeds,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,117,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,11,0,0,0,0,12,0,138,0,0,3,0.0,0,-1,0,1,45,False,0
Billy Gilmour,MID,Brighton,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,1491,0,1,1,0.0,0,-27,0,27,55,True,0
Illan Meslier,GK,Fulham,0.3,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,116,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,9,0,0,0,0,12,0,58298,0,3,2,0.0,0,516,2914,2398,39,True,0
Ben Davies,DEF,Chelsea,1.8,0,0,17,0,12.7,432,0.03,0.18,0.15,2.32,113,2,0,7.0,16.0,2023-11-11T17:30:00Z,90,3,0,0,0,0,12,0,12120,1,0,2,41.0,2,1385,1954,569,53,False,0
Eberechi Eze,MID,Man City,-1.0,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,111,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,1,0,0,0,0,12,0,16878,0,1,3,0.0,0,201,564,363,39,False,0
Dominic Calvert-Lewin,FWD,Crystal Palace,-1.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,115,0,0,0.0,0.0,2023-11-12T16:30:00Z,0,13,0,0,0,0,12,0,4090,0,4,4,0.0,0,275,586,311,44,True,0
Jonathan Panzo,DEF,Liverpool,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,12,0,0,0,0,12,0,2459,0,0,1,0.0,0,-52,29,81,43,True,0
Bruno Borges Fernandes,MID,West Ham,0.0,0,0,0,0,0.0,333,0.00,0.00,0.00,0.00,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,6525,0,0,1,0.0,0,71,472,401,39,False,0
David Ozoh,MID,Man Utd,-0.7,0,0,0,0,0.0,676,0.00,0.00,0.00,0.00,119,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,16,0,0,0,0,12,0,2644,0,2,3,0.0,0,201,379,178,45,True,0
James McArthur,MID,Brighton,0.0,0,0,0,0,0.0,154,0.00,0.00,0.00,0.00,114,0,0,0.0,0.0,2023-11-12T14:00:00Z,0,17,0,0,0,0,12,0,69108,0,1,1,0.0,0,-5729,84,5813,57,True,0
Conor Gallagher,MID,Brighton,2.2,0,0,12,0,0.0,148,0.00,0.00,0.00,1.32,114,1,0,0.9,9.0,2023-11-12T14:00:00Z,90,17,0,0,0,0,12,1,259410,1,1,1,0.0,2,-9094,3984,13078,43,True,0
