name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Leeds,3.5,0,0,19,1,0.9,265,0.05,0.07,0.02,1.58,144,0,0,3.1,19.4,2023-12-07T19:30:00Z,90,15,0,0,0,0,15,0,324475,1,0,3,11.0,6,812,10626,9814,44,True,0
John McGinn,MID,Aston Villa,-1.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,141,0,0,0.0,0.0,2023-12-06T20:15:00Z,0,13,0,0,0,0,15,0,104896,0,0,1,0.0,0,518,2174,1656,39,True,0
Cheikhou Kouyaté,MID,Spurs,0.0,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,148,0,0,0.0,0.0,2023-12-07T20:15:00Z,0,19,0,0,0,0,15,0,8664,0,2,1,0.0,0,-110,14,124,51,True,0
Paul Onuachu,FWD,Man City,0.0,0,0,0,0,0.0,732,0.00,0.00,0.00,0.00,145,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,16,0,0,0,0,15,0,1012,0,0,5,0.0,0,51,121,70,40,True,0
Josh Dasilva,MID,Leicester,5.2,0,3,30,1,14.9,83,0.06,0.67,0.61,0.84,143,0,1,9.4,45.0,2023-12-06T19:30:00Z,90,8,0,0,0,0,15,0,15223,1,2,0,34.0,14,416,919,503,43,False,1
Takehiro Tomiyasu,DEF,Brentford,5.5,1,0,24,0,72.0,14,0.44,0.50,0.06,0.50,146,3,0,12.5,35.2,2023-12-05T20:15:00Z,90,12,0,0,0,0,15,0,1504214,1,4,3,18.0,5,108642,118096,9454,83,False,0
James Garner,MID,West Ham,4.3,0,0,19,1,49.8,570,0.59,0.80,0.21,0.77,149,0,0,9.7,17.2,2023-12-05T19:30:00Z,78,6,0,0,0,0,15,0,18118,1,0,1,30.0,3,665,2395,1730,47,True,0
Raphaël Varane,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,1,0,0,0,0,15,0,122,0,4,3,0.0,0,0,0,0,50,True,0
Adam Lallana,MID,Arsenal,2.5,0,0,18,0,0.0,101,0.00,0.00,0.00,1.52,142,2,0,3.8,38.4,2023-12-06T19:30:00Z,90,5,0,0,0,0,15,5,318393,1,1,2,0.0,2,-15961,10071,26032,45,False,0
Eddie Nketiah,FWD,Brentford,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,12,0,0,0,0,15,0,4660,0,4,3,0.0,0,-23,0,23,45,False,0
