name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Everton,7.3,0,1,31,1,10.3,265,0.01,0.01,0.00,0.72,75,0,0,4.9,34.8,2023-10-07T14:00:00Z,90,3,0,0,0,0,8,0,340194,1,0,3,4.0,7,12130,55745,43615,45,True,0
John McGinn,MID,Man City,0.0,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,80,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,20,0,0,0,0,8,0,104465,0,1,1,0.0,0,-1798,4152,5950,39,False,0
Cheikhou Kouyaté,MID,Bournemouth,0.0,0,0,0,0,0.0,583,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,12,0,0,0,0,8,0,16318,0,1,0,0.0,0,-3055,1471,4526,53,False,0
Josh Dasilva,MID,West Ham,0.3,0,0,11,0,1.2,83,0.03,0.03,0.00,2.71,75,3,0,2.5,21.6,2023-10-07T14:00:00Z,90,9,0,0,0,0,8,0,14572,1,0,3,2.0,1,77,1126,1049,44,False,0
Takehiro Tomiyasu,DEF,Aston Villa,6.5,0,0,7,1,32.4,14,0.16,0.24,0.08,0.55,71,0,0,5.4,12.0,2023-10-08T15:30:00Z,90,13,0,0,0,0,8,0,2306616,1,0,1,10.0,3,88758,218848,130090,85,True,0
James Garner,MID,Wolves,0.0,0,0,0,0,0.0,570,0.00,0.00,0.00,0.00,80,0,0,0.0,0.0,2023-10-08T13:00:00Z,0,2,0,0,0,0,8,0,10785,0,1,1,0.0,0,-1262,177,1439,49,True,0
Raphaël Varane,DEF,Newcastle,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,77,0,0,0.0,0.0,2023-10-07T11:30:00Z,0,18,0,0,0,0,8,0,131,0,1,0,0.0,0,-2,0,2,50,True,0
Adam Lallana,MID,Fulham,0.8,0,0,0,0,0.0,101,0.00,0.00,0.00,0.00,78,0,0,0.0,0.0,2023-10-07T14:00:00Z,0,14,0,0,0,0,8,0,319162,0,1,2,0.0,0,-39958,5610,45568,45,False,0
Eddie Nketiah,FWD,Aston Villa,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,71,0,0,0.0,0.0,2023-10-08T15:30:00Z,0,13,0,0,0,0,8,0,5270,0,0,1,0.0,0,-195,0,195,45,True,0
Charlie Goode,DEF,Fulham,0.5,0,0,8,0,0.1,96,0.00,0.17,0.17,1.43,78,2,0,2.6,17.6,2023-10-07T14:00:00Z,90,14,0,0,0,0,8,0,46760,1,1,2,8.0,0,-3404,1266,4670,45,False,1
