name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Wilfred Ndidi,MID,Newcastle,1.7,0,0,14,0,0.6,265,0.00,0.00,0.00,0.87,40,2,0,2.5,22.4,2023-09-02T11:30:00Z,90,17,0,0,0,0,4,0,158615,1,2,2,2.0,1,-9833,8039,17872,45,False,0
John McGinn,MID,Crystal Palace,-0.5,0,0,0,0,0.0,37,0.00,0.00,0.00,0.00,37,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,11,0,0,0,0,4,0,114156,0,0,3,0.0,0,-8398,1894,10292,40,False,0
Cheikhou Kouyaté,MID,Leeds,3.3,2,2,37,0,54.8,583,0.31,0.43,0.12,0.73,34,1,0,12.7,48.0,2023-09-02T14:00:00Z,67,6,0,0,0,0,4,0,9687,1,5,2,24.0,10,-1687,175,1862,54,False,0
Josh Dasilva,MID,West Ham,1.5,1,0,19,0,14.3,83,0.17,0.17,0.00,3.29,32,2,0,4.1,26.6,2023-09-02T14:00:00Z,90,4,0,0,0,0,4,0,13644,1,2,2,0.0,4,-1143,562,1705,44,False,0
Takehiro Tomiyasu,DEF,Arsenal,5.5,0,0,24,0,5.4,14,0.06,0.40,0.34,0.96,31,1,1,8.4,38.2,2023-09-03T15:30:00Z,90,14,0,0,0,0,4,0,2020789,1,1,3,40.0,7,-228233,38052,266285,85,True,0
James Garner,MID,Bournemouth,2.2,0,0,5,0,35.3,570,0.02,0.07,0.05,1.16,36,1,0,4.7,7.6,2023-09-03T13:00:00Z,59,8,0,0,0,0,4,0,17264,1,2,3,4.0,1,-2732,1433,4165,50,False,0
Raphaël Varane,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,329,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,153,0,2,1,0.0,0,-19,0,19,50,True,0
Adam Lallana,MID,Aston Villa,3.5,0,0,17,0,0.0,101,0.00,0.00,0.00,2.02,32,2,0,3.1,31.4,2023-09-02T14:00:00Z,90,3,0,0,0,0,4,3,278840,1,2,2,0.0,2,46479,63775,17296,45,True,0
Eddie Nketiah,FWD,Arsenal,0.0,0,0,0,0,0.0,11,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,0,0,0,4,0,6902,0,1,3,0.0,0,-1296,0,1296,45,True,0
Charlie Goode,DEF,Aston Villa,3.2,1,0,17,0,14.0,96,0.17,0.17,0.00,0.00,32,0,0,3.6,19.6,2023-09-02T14:00:00Z,9,3,0,0,0,0,4,0,36863,0,2,2,2.0,4,1001,3474,2473,45,True,0
Andros Townsend,MID,Brighton,0.0,0,0,0,0,0.0,179,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,1673,0,5,2,0.0,0,-127,0,127,40,True,0
Shandon Baptiste,MID,Aston Villa,0.0,0,0,0,0,0.0,94,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,3,0,0,0,0,4,0,163,0,2,2,0.0,0,-14,0,14,45,True,0
Billy Gilmour,MID,Brentford,0.0,0,0,0,0,0.0,149,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,15,0,0,0,0,4,0,2168,0,1,3,0.0,0,-382,0,382,55,True,0
Illan Meslier,GK,Liverpool,0.0,0,0,0,0,0.0,238,0.00,0.00,0.00,0.00,36,0,0,0.0,0.0,2023-09-03T13:00:00Z,0,20,0,0,0,0,4,0,36170,0,2,3,0.0,0,-3003,519,3522,40,True,0
Ben Davies,DEF,Everton,0.0,0,0,0,0,0.0,432,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,5,0,0,0,0,4,0,10933,0,1,3,0.0,0,-1867,37,1904,54,False,0
Eberechi Eze,MID,Brighton,-0.5,0,0,0,0,0.0,169,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,13654,0,5,2,0.0,0,-914,161,1075,40,True,0
Dominic Calvert-Lewin,FWD,Chelsea,0.0,0,0,0,0,0.0,191,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,3123,0,1,0,0.0,0,-399,39,438,44,True,0
Jonathan Panzo,DEF,Fulham,0.0,0,0,0,0,0.0,389,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,1,0,0,0,0,4,0,3222,0,1,3,0.0,0,-433,49,482,44,False,0
Bruno Borges Fernandes,MID,Nott'm Forest,0.0,0,0,0,0,0.0,333,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,6217,0,2,1,0.0,0,-592,167,759,40,True,0
David Ozoh,MID,Spurs,0.0,0,0,0,0,0.0,676,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,477,0,2,1,0.0,0,-48,129,177,45,False,0
James McArthur,MID,Brentford,0.0,0,0,0,0,0.0,154,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,15,0,0,0,0,4,0,128990,0,1,3,0.0,0,-34009,2704,36713,59,True,0
Conor Gallagher,MID,Brentford,0.7,0,0,0,0,0.0,148,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,15,0,0,0,0,4,0,429654,0,1,3,0.0,0,-59954,4496,64450,45,True,0
Kepa Arrizabalaga,GK,Brentford,3.3,2,2,31,1,30.0,133,0.18,0.20,0.02,0.84,33,0,0,6.1,23.8,2023-09-02T16:30:00Z,76,15,0,0,0,0,4,0,9422,1,1,3,7.0,11,-543,586,1129,50,True,0
Halil Dervişoğlu,FWD,Spurs,0.0,0,0,0,0,0.0,541,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,2693,0,2,1,0.0,0,-380,0,380,60,False,0
Phil Jones,DEF,Nott'm Forest,0.5,0,0,4,0,1.0,328,0.02,0.05,0.03,0.20,38,1,0,1.3,3.4,2023-09-01T19:00:00Z,12,19,0,0,0,0,4,0,12219,0,2,1,9.0,1,-1096,347,1443,49,True,0
Sergi Canós Tenés,DEF,West Ham,3.2,0,0,-3,0,1.3,82,0.00,0.19,0.19,1.45,32,1,0,2.7,3.2,2023-09-02T14:00:00Z,59,4,0,0,0,0,4,0,307508,1,2,2,22.0,1,54925,89377,34452,45,False,0
Victor Lindelöf,DEF,Nott'm Forest,0.0,0,0,0,0,0.0,337,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,19,0,0,0,0,4,0,566,0,2,1,0.0,0,-69,0,69,45,True,0
Joseph Hodge,MID,Southampton,1.2,0,0,0,0,0.0,566,0.00,0.00,0.00,0.00,39,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,10,0,0,0,0,4,0,14941,0,1,5,0.0,0,-1063,1584,2647,50,True,0
N'Golo Kanté,MID,Brentford,3.5,0,0,9,1,34.9,134,0.06,0.06,0.00,0.86,33,0,0,5.8,17.4,2023-09-02T16:30:00Z,88,15,0,0,0,0,4,0,238395,1,1,3,6.0,3,-18363,6125,24488,64,True,0
Moussa Djenepo,MID,Everton,0.0,0,0,0,0,0.0,418,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,5,0,0,0,0,4,0,462,0,1,3,0.0,0,-61,0,61,45,False,0
Jackson Smith,GK,Bournemouth,2.4,0,0,25,0,0.8,557,0.01,0.07,0.06,0.97,36,2,1,5.9,37.2,2023-09-03T13:00:00Z,30,8,0,0,0,0,4,0,10124,0,2,3,21.0,6,-3193,121,3314,55,False,0
Benjamin White,DEF,Arsenal,0.5,0,0,0,0,0.0,10,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,0,0,0,4,0,9583,0,1,3,0.0,0,-103,745,848,44,True,0
Christian Saydee,FWD,Fulham,2.8,0,0,10,0,0.0,597,0.00,0.00,0.00,2.27,31,3,0,2.2,22.2,2023-09-03T15:30:00Z,90,1,0,0,0,0,4,2,2491621,1,1,3,0.0,0,-280537,32976,313513,50,False,1
Anthony Gordon,MID,Chelsea,3.8,0,0,6,0,25.1,195,0.26,0.55,0.29,0.64,35,1,0,4.5,5.6,2023-09-02T14:00:00Z,61,16,0,0,0,0,4,0,3291926,1,1,0,14.0,1,420166,487516,67350,58,True,1
Emiliano Martínez Romero,GK,Arsenal,1.0,0,0,15,0,13.4,31,0.03,0.03,0.00,0.90,31,1,0,2.0,6.8,2023-09-03T15:30:00Z,75,14,0,0,0,0,4,0,462182,1,1,3,0.0,2,-50655,14782,65437,49,True,0
Daniel Amartey,DEF,Newcastle,1.0,0,0,0,0,0.0,257,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,17,0,0,0,0,4,0,26110,0,2,2,0.0,0,-1574,1039,2613,45,False,0
Kyle Walker-Peters,DEF,Everton,0.5,0,0,0,0,0.0,409,0.00,0.00,0.00,0.00,33,0,0,0.0,0.0,2023-09-02T16:30:00Z,0,5,0,0,0,0,4,0,101021,0,1,3,0.0,0,-5016,900,5916,40,False,0
Kjell Scherpen,GK,Spurs,0.0,0,0,0,0,0.0,542,0.00,0.00,0.00,0.00,38,0,0,0.0,0.0,2023-09-01T19:00:00Z,0,12,0,0,0,0,4,0,88827,0,2,1,0.0,0,-35661,1403,37064,50,False,0
Ben Mee,DEF,Spurs,8.0,0,0,20,0,6.4,526,0.10,0.60,0.50,1.43,38,1,1,9.5,36.4,2023-09-01T19:00:00Z,90,12,0,0,0,0,4,0,928955,1,2,1,52.0,7,407787,442165,34378,71,False,0
José Malheiro de Sá,GK,Wolves,-0.5,0,0,0,0,0.0,478,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,3072,0,2,2,0.0,0,-93,335,428,44,True,0
Gabriel dos Santos Magalhães,DEF,Arsenal,0.0,0,0,0,0,0.0,16,0.00,0.00,0.00,0.00,31,0,0,0.0,0.0,2023-09-03T15:30:00Z,0,14,0,0,0,0,4,0,7192,0,1,3,0.0,0,-647,101,748,49,True,0
Taylor Richards,MID,Aston Villa,0.2,0,0,0,0,0.0,121,0.00,0.00,0.00,0.00,32,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,3,0,0,0,0,4,0,7959,0,2,2,0.0,0,-608,109,717,45,True,0
Dale Taylor,FWD,Wolves,-0.2,0,0,0,0,0.0,666,0.00,0.00,0.00,0.00,40,0,0,0.0,0.0,2023-09-02T11:30:00Z,0,9,0,0,0,0,4,0,414,0,2,2,0.0,0,-13,37,50,50,True,0
Lucas Digne,DEF,Wolves,2.5,1,3,32,0,0.8,33,0.00,0.17,0.17,2.49,40,2,1,5.5,30.0,2023-09-02T11:30:00Z,74,9,0,0,0,0,4,0,468853,1,2,2,24.0,12,-14423,33757,48180,45,True,0
Ezri Konsa Ngoyo,DEF,Crystal Palace,1.7,0,0,-1,0,0.8,44,0.01,0.09,0.08,0.12,37,0,0,0.4,0.0,2023-09-03T13:00:00Z,17,11,0,0,0,0,4,0,12358,0,0,3,8.0,1,-311,2128,2439,50,False,0
Jordan Smith,GK,Brighton,0.0,0,0,0,0,0.0,675,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,1452,0,5,2,0.0,0,343,619,276,50,True,0
Allan Marques Loureiro,MID,Brighton,0.0,0,0,0,0,0.0,183,0.00,0.00,0.00,0.00,34,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,18,0,0,0,0,4,0,6514,0,5,2,0.0,0,-1296,0,1296,55,True,0
Ben Godfrey,DEF,Chelsea,0.0,0,0,0,0,0.0,193,0.00,0.00,0.00,0.00,35,0,0,0.0,0.0,2023-09-02T14:00:00Z,0,16,0,0,0,0,4,0,3781,0,1,0,0.0,0,-416,111,527,49,True,0
Phil Foden,MID,Nott'm Forest,1.5,0,0,2,0,11.8,314,0.01,0.41,0.40,0.86,38,1,0,3.7,2.2,2023-09-01T19:00:00Z,70,19,0,0,0,0,4,0,76701,1,2,1,23.0,2,-6896,3402,10298,49,True,0
