total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,transfers_in,transfers_out,name,element,team,position,value,selected,was_home,xP,round,GW
6.12,0.25,0.5,90.0,0.12,1.62,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,27.92,39.27,12.12,7.94,1.0,1.38,3.12,5.0,9.5,113644.12,85516.12,Dominik Szoboszlai,0,Liverpool,MID,71,15.1,0.5,0.0,37,37
3.25,0.0,0.25,90.0,0.12,2.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0,21.67,22.56,3.38,4.75,1.0,3.5,3.62,4.0,11.12,35297.62,36629.38,James Garner,0,Everton,MID,52,3.6,0.5,0.0,37,37
19.62,1.25,0.62,389.25,1.0,5.75,0.0,0.0,0.0,0.0,1.25,0.0,2.38,0.0,104.45,132.9,93.38,33.08,4.38,6.62,6.38,17.5,30.5,741589.25,638638.0,Enzo Enzo,0,Chelsea,MID,65,12.3,0.5,0.0,37,37
3.38,0.12,0.25,39.12,0.38,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.0,12.2,18.94,12.62,4.39,0.5,0.75,0.75,2.0,3.5,114220.25,0.0,Bukayo Saka,0,Arsenal,MID,100,11.6,0.5,0.0,37,37
19.25,1.12,0.88,307.0,0.75,4.62,0.0,0.0,0.0,0.0,0.75,0.0,2.75,0.0,97.8,94.59,61.0,25.36,3.38,7.75,6.88,16.75,31.38,548176.0,485635.62,Bruno Bruno G.,0,Newcastle,MID,69,6.5,0.5,0.0,37,37
19.25,0.12,1.0,357.62,1.5,3.5,0.0,0.0,0.0,0.0,0.62,0.0,2.0,0.0,87.0,68.12,16.38,17.2,4.0,7.12,17.25,20.75,24.38,132810.12,98656.75,Matheus Matheus N.,0,Man City,DEF,53,2.9,0.5,0.0,37,37
4.38,0.0,0.0,86.25,0.25,1.62,0.0,0.0,0.0,0.0,0.12,0.0,0.5,0.0,24.35,3.36,12.38,3.99,1.0,1.38,9.88,2.5,11.25,83186.0,30696.88,Maxence Lacroix,0,Crystal Palace,DEF,52,7.1,0.5,0.0,37,37
4.0,0.25,0.0,66.38,0.25,1.38,0.0,0.0,0.0,0.0,0.12,0.0,0.38,0.0,19.2,7.9,10.0,3.71,0.75,1.25,3.25,2.75,4.5,54223.0,69926.12,Nordi Mukiele,0,Sunderland,DEF,46,8.7,0.5,0.0,37,37
4.62,0.25,0.25,89.75,0.12,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,22.65,20.29,17.5,6.06,1.0,1.88,1.12,5.12,8.12,92189.62,34968.5,Kiernan Dewsbury-Hall,0,Everton,MID,53,7.9,0.5,0.0,37,37
0.12,0.0,0.0,4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.2,0.25,0.14,0.12,0.25,0.25,0.12,0.5,0.0,223855.62,Jurriën Timber,0,Arsenal,DEF,60,15.2,0.5,0.0,37,37
